case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen
barang cepat sampai walaupun pesan nya malam dan barang nya sampai esok harinya,barang cepat sampai walaupun pesan nya malam dan barang nya sampai esok harinya,barang cepat sampai walaupun pesan nya malam dan barang nya sampai esok harinya,"['barang', 'cepat', 'sampai', 'walaupun', 'pesan', 'nya', 'malam', 'dan', 'barang', 'nya', 'sampai', 'esok', 'harinya']","['cepat', 'pesan', 'malam', 'esok', 'harinya']","['cepat', 'pesan', 'malam', 'esok', 'hari']",cepat pesan malam esok hari,"{'classified_text': 'cepat [4] pesan malam esok hari', 'tweet_text': ' cepat pesan malam esok hari', 'sentence_score': ['cepat [4] pesan malam esok hari'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"paket aman tdk pecah.
lipstick shade soleyn jatuh nya coral sedikit coklat muda di saya. texture kering harus pakai lipbalm dulu aebelum di swipe.
bedak translucent menghaluskan texture kulit tapi tidak menutup noda bekas jerawat/pori2 memang fungsi nya lbh buat setting powder atau untuk yg benar2 natural tanpa warna",paket aman tdk pecah lipstick shade soleyn jatuh nya coral sedikit coklat muda di saya texture kering harus pakai lipbalm dulu aebelum di swipe bedak translucent menghaluskan texture kulit tapi tidak menutup noda bekas jerawat pori memang fungsi nya lbh buat setting powder atau untuk yg benar natural tanpa warna,paket aman tidak pecah lipstick shade soleyn jatuh nya coral sedikit coklat muda di saya texture kering harus pakai lipbalm dulu aebelum di swipe bedak translucent menghaluskan texture kulit tapi tidak menutup noda bekas jerawat pori memang fungsi nya lebih buat setting powder atau untuk yang benar natural tanpa warna,"['paket', 'aman', 'tidak', 'pecah', 'lipstick', 'shade', 'soleyn', 'jatuh', 'nya', 'coral', 'sedikit', 'coklat', 'muda', 'di', 'saya', 'texture', 'kering', 'harus', 'pakai', 'lipbalm', 'dulu', 'aebelum', 'di', 'swipe', 'bedak', 'translucent', 'menghaluskan', 'texture', 'kulit', 'tapi', 'tidak', 'menutup', 'noda', 'bekas', 'jerawat', 'pori', 'memang', 'fungsi', 'nya', 'lebih', 'buat', 'setting', 'powder', 'atau', 'untuk', 'yang', 'benar', 'natural', 'tanpa', 'warna']","['paket', 'aman', 'pecah', 'lipstick', 'shade', 'soleyn', 'jatuh', 'coral', 'coklat', 'muda', 'texture', 'kering', 'pakai', 'lipbalm', 'aebelum', 'swipe', 'bedak', 'translucent', 'menghaluskan', 'texture', 'kulit', 'menutup', 'noda', 'bekas', 'jerawat', 'pori', 'fungsi', 'setting', 'powder', 'natural', 'warna']","['paket', 'aman', 'pecah', 'lipstick', 'shade', 'soleyn', 'jatuh', 'coral', 'coklat', 'muda', 'texture', 'kering', 'pakai', 'lipbalm', 'aebelum', 'swipe', 'bedak', 'translucent', 'halus', 'texture', 'kulit', 'tutup', 'noda', 'bekas', 'jerawat', 'pori', 'fungsi', 'setting', 'powder', 'natural', 'warna']",paket aman pecah lipstick shade soleyn jatuh coral coklat muda texture kering pakai lipbalm aebelum swipe bedak translucent halus texture kulit tutup noda bekas jerawat pori fungsi setting powder natural warna,"{'classified_text': 'paket aman [4] pecah [-2] lipstick shade soleyn jatuh [-3] coral coklat muda [4] texture kering pakai lipbalm aebelum swipe bedak translucent halus [3] texture kulit tutup noda bekas [-4] jerawat pori fungsi setting powder natural warna', 'tweet_text': ' paket aman pecah lipstick shade soleyn jatuh coral coklat muda texture kering pakai lipbalm aebelum swipe bedak translucent halus texture kulit tutup noda bekas jerawat pori fungsi setting powder natural warna', 'sentence_score': ['paket aman [4] pecah [-2] lipstick shade soleyn jatuh [-3] coral coklat muda [4] texture kering pakai lipbalm aebelum swipe bedak translucent halus [3] texture kulit tutup noda bekas [-4] jerawat pori fungsi setting powder natural warna'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
selalu berlangganan... mantap .. kulitku jadi kinclong.. jadi glowing sampe2 sekampung nyangka aku ini orang korea.,selalu berlangganan mantap kulitku jadi kinclong jadi glowing sampe sekampung nyangka aku ini orang korea,selalu berlangganan mantap kulitku jadi kinclong jadi glowing sampai sekampung menyangka aku ini orang korea,"['selalu', 'berlangganan', 'mantap', 'kulitku', 'jadi', 'kinclong', 'jadi', 'glowing', 'sampai', 'sekampung', 'menyangka', 'aku', 'ini', 'orang', 'korea']","['berlangganan', 'mantap', 'kulitku', 'kinclong', 'glowing', 'sekampung', 'menyangka', 'korea']","['langgan', 'mantap', 'kulit', 'kinclong', 'glowing', 'kampung', 'sangka', 'korea']",langgan mantap kulit kinclong glowing kampung sangka korea,"{'classified_text': 'langgan mantap [4] kulit kinclong glowing kampung sangka korea', 'tweet_text': ' langgan mantap kulit kinclong glowing kampung sangka korea', 'sentence_score': ['langgan mantap [4] kulit kinclong glowing kampung sangka korea'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
luber yang tengah,luber yang tengah,luber yang tengah,"['luber', 'yang', 'tengah']",['luber'],['luber'],luber,"{'classified_text': 'luber', 'tweet_text': ' luber', 'sentence_score': ['luber'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
"paket aman cepat tiba. texture cepat meresap ada sedikit scent seperti bubble gum jadul.
tidak ada bekas greasy or white cast, tidak lengket.
krn sdg sale harga terjangkau worth to try buat test nyaman dipakai or not, biasamya pki sinscreen skinti*** yg lbh pricey",paket aman cepat tiba texture cepat meresap ada sedikit scent seperti bubble gum jadul tidak ada bekas greasy or white cast tidak lengket krn sdg sale harga terjangkau worth to try buat test nyaman dipakai or not biasamya pki sinscreen skinti yg lbh pricey,paket aman cepat tiba texture cepat meresap ada sedikit scent seperti bubble gum jadul tidak ada bekas greasy orang white cast tidak lengket karena sedang sale harga terjangkau worth tapi try buat test nyaman dipakai orang not biasamya pki sinscreen skinti yang lebih pricey,"['paket', 'aman', 'cepat', 'tiba', 'texture', 'cepat', 'meresap', 'ada', 'sedikit', 'scent', 'seperti', 'bubble', 'gum', 'jadul', 'tidak', 'ada', 'bekas', 'greasy', 'orang', 'white', 'cast', 'tidak', 'lengket', 'karena', 'sedang', 'sale', 'harga', 'terjangkau', 'worth', 'tapi', 'try', 'buat', 'test', 'nyaman', 'dipakai', 'orang', 'not', 'biasamya', 'pki', 'sinscreen', 'skinti', 'yang', 'lebih', 'pricey']","['paket', 'aman', 'cepat', 'texture', 'cepat', 'meresap', 'scent', 'bubble', 'gum', 'jadul', 'bekas', 'greasy', 'white', 'cast', 'lengket', 'sale', 'harga', 'terjangkau', 'worth', 'try', 'test', 'nyaman', 'dipakai', 'not', 'biasamya', 'pki', 'sinscreen', 'skinti', 'pricey']","['paket', 'aman', 'cepat', 'texture', 'cepat', 'resap', 'scent', 'bubble', 'gum', 'jadul', 'bekas', 'greasy', 'white', 'cast', 'lengket', 'sale', 'harga', 'jangkau', 'worth', 'try', 'test', 'nyaman', 'pakai', 'not', 'biasamya', 'pki', 'sinscreen', 'skinti', 'pricey']",paket aman cepat texture cepat resap scent bubble gum jadul bekas greasy white cast lengket sale harga jangkau worth try test nyaman pakai not biasamya pki sinscreen skinti pricey,"{'classified_text': 'paket aman [4] cepat [5] texture cepat [4] resap scent bubble gum jadul bekas [-4] greasy white cast lengket sale harga jangkau worth try test nyaman [4] pakai not biasamya pki sinscreen skinti pricey', 'tweet_text': ' paket aman cepat texture cepat resap scent bubble gum jadul bekas greasy white cast lengket sale harga jangkau worth try test nyaman pakai not biasamya pki sinscreen skinti pricey', 'sentence_score': ['paket aman [4] cepat [5] texture cepat [4] resap scent bubble gum jadul bekas [-4] greasy white cast lengket sale harga jangkau worth try test nyaman [4] pakai not biasamya pki sinscreen skinti pricey'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}"
"sementara fotonya, setelah pemakaian 1 bulan semoga masih dikasih kesempatan update review hasilnya. soalnya biasa cuma pakai yang skin barrier nya somethinc, tapi karena 1 bulan penuh kemarin rutin olahraga di luar jadinya kok kusam. jadi ini pertama coba serum dari dunia perputihan 🤣🤭",sementara fotonya setelah pemakaian bulan semoga masih dikasih kesempatan update review hasilnya soalnya biasa cuma pakai yang skin barrier nya somethinc tapi karena bulan penuh kemarin rutin olahraga di luar jadinya kok kusam jadi ini pertama coba serum dari dunia perputihan,sementara fotonya setelah pemakaian bulan semoga masih dikasih kesempatan update review hasilnya soalnya biasa cuma pakai yang skin barrier nya somethinc tapi karena bulan penuh kemarin rutin olahraga di luar jadinya kok kusam jadi ini pertama coba serum dari dunia perputihan,"['sementara', 'fotonya', 'setelah', 'pemakaian', 'bulan', 'semoga', 'masih', 'dikasih', 'kesempatan', 'update', 'review', 'hasilnya', 'soalnya', 'biasa', 'cuma', 'pakai', 'yang', 'skin', 'barrier', 'nya', 'somethinc', 'tapi', 'karena', 'bulan', 'penuh', 'kemarin', 'rutin', 'olahraga', 'di', 'luar', 'jadinya', 'kok', 'kusam', 'jadi', 'ini', 'pertama', 'coba', 'serum', 'dari', 'dunia', 'perputihan']","['fotonya', 'pemakaian', 'semoga', 'dikasih', 'review', 'hasilnya', 'pakai', 'skin', 'barrier', 'somethinc', 'penuh', 'kemarin', 'rutin', 'olahraga', 'kusam', 'coba', 'serum', 'dunia', 'perputihan']","['foto', 'pakai', 'moga', 'kasih', 'review', 'hasil', 'pakai', 'skin', 'barrier', 'somethinc', 'penuh', 'kemarin', 'rutin', 'olahraga', 'kusam', 'coba', 'serum', 'dunia', 'putih']",foto pakai moga kasih review hasil pakai skin barrier somethinc penuh kemarin rutin olahraga kusam coba serum dunia putih,"{'classified_text': 'foto pakai moga kasih review hasil pakai skin barrier somethinc penuh [3] kemarin rutin olahraga kusam [-3] coba serum dunia putih', 'tweet_text': ' foto pakai moga kasih review hasil pakai skin barrier somethinc penuh kemarin rutin olahraga kusam coba serum dunia putih', 'sentence_score': ['foto pakai moga kasih review hasil pakai skin barrier somethinc penuh [3] kemarin rutin olahraga kusam [-3] coba serum dunia putih'], 'max_positive': 3, 'max_negative': -3, 'kelas': 'netral'}"
"packing rapih & aman, proses pengiriman cepat, barang2nya dalam kondisi baik. belum dicoba, semoga cocok & hasilnya bagus",packing rapih aman proses pengiriman cepat barangnya dalam kondisi baik belum dicoba semoga cocok hasilnya bagus,packing rapi aman proses pengiriman cepat barangnya dalam kondisi baik belum dicoba semoga cocok hasilnya bagus,"['packing', 'rapi', 'aman', 'proses', 'pengiriman', 'cepat', 'barangnya', 'dalam', 'kondisi', 'baik', 'belum', 'dicoba', 'semoga', 'cocok', 'hasilnya', 'bagus']","['packing', 'rapi', 'aman', 'pengiriman', 'cepat', 'barangnya', 'dicoba', 'semoga', 'cocok', 'hasilnya', 'bagus']","['packing', 'rapi', 'aman', 'kirim', 'cepat', 'barang', 'coba', 'moga', 'cocok', 'hasil', 'bagus']",packing rapi aman kirim cepat barang coba moga cocok hasil bagus,"{'classified_text': 'packing rapi [4] aman [5] kirim cepat [4] barang coba moga cocok [3] hasil bagus [4]', 'tweet_text': ' packing rapi aman kirim cepat barang coba moga cocok hasil bagus', 'sentence_score': ['packing rapi [4] aman [5] kirim cepat [4] barang coba moga cocok [3] hasil bagus [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
thank you. 😃,thank you,thank you,"['thank', 'you']",['thank'],['thank'],thank,"{'classified_text': 'thank', 'tweet_text': ' thank', 'sentence_score': ['thank'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
"kalo ini udh pernah pake sebelumnya dan cocok2 aja sih, thanks seller",kalo ini udh pernah pake sebelumnya dan cocok aja sih thanks seller,kalo ini sudah pernah pakai sebelumnya dan cocok saja sih thanks seller,"['kalo', 'ini', 'sudah', 'pernah', 'pakai', 'sebelumnya', 'dan', 'cocok', 'saja', 'sih', 'thanks', 'seller']","['pakai', 'cocok', 'thanks', 'seller']","['pakai', 'cocok', 'thanks', 'seller']",pakai cocok thanks seller,"{'classified_text': 'pakai cocok [3] thanks seller', 'tweet_text': ' pakai cocok thanks seller', 'sentence_score': ['pakai cocok [3] thanks seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
"ini juga baru mau coba, semoga cocok, thanks seller",ini juga baru mau coba semoga cocok thanks seller,ini juga baru mau coba semoga cocok thanks seller,"['ini', 'juga', 'baru', 'mau', 'coba', 'semoga', 'cocok', 'thanks', 'seller']","['coba', 'semoga', 'cocok', 'thanks', 'seller']","['coba', 'moga', 'cocok', 'thanks', 'seller']",coba moga cocok thanks seller,"{'classified_text': 'coba moga cocok [3] thanks seller', 'tweet_text': ' coba moga cocok thanks seller', 'sentence_score': ['coba moga cocok [3] thanks seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
"baru mau coba, semoga cocok",baru mau coba semoga cocok,baru mau coba semoga cocok,"['baru', 'mau', 'coba', 'semoga', 'cocok']","['coba', 'semoga', 'cocok']","['coba', 'moga', 'cocok']",coba moga cocok,"{'classified_text': 'coba moga cocok [3]', 'tweet_text': ' coba moga cocok', 'sentence_score': ['coba moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
sip,sip,sip,['sip'],['sip'],['sip'],sip,"{'classified_text': 'sip', 'tweet_text': ' sip', 'sentence_score': ['sip'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
waterproof dan tahan lama,waterproof dan tahan lama,waterproof dan tahan lama,"['waterproof', 'dan', 'tahan', 'lama']","['waterproof', 'tahan']","['waterproof', 'tahan']",waterproof tahan,"{'classified_text': 'waterproof tahan', 'tweet_text': ' waterproof tahan', 'sentence_score': ['waterproof tahan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
ringan. masih transfer walopun udah pake setting spray. setelah botol dikocok isinya suka beleberrr. shade bijoux ini versatile sekali ternyata,ringan masih transfer walopun udah pake setting spray setelah botol dikocok isinya suka beleberrr shade bijoux ini versatile sekali ternyata,ringan masih transfer walopun sudah pakai setting spray setelah botol dikocok isinya suka beleber shade bijoux ini versatile sekali ternyata,"['ringan', 'masih', 'transfer', 'walopun', 'sudah', 'pakai', 'setting', 'spray', 'setelah', 'botol', 'dikocok', 'isinya', 'suka', 'beleber', 'shade', 'bijoux', 'ini', 'versatile', 'sekali', 'ternyata']","['ringan', 'transfer', 'walopun', 'pakai', 'setting', 'spray', 'botol', 'dikocok', 'isinya', 'suka', 'beleber', 'shade', 'bijoux', 'versatile']","['ringan', 'transfer', 'walopun', 'pakai', 'setting', 'spray', 'botol', 'kocok', 'isi', 'suka', 'beber', 'shade', 'bijoux', 'versatile']",ringan transfer walopun pakai setting spray botol kocok isi suka beber shade bijoux versatile,"{'classified_text': 'ringan transfer walopun pakai setting spray botol kocok [-1] isi suka [4] beber shade bijoux versatile', 'tweet_text': ' ringan transfer walopun pakai setting spray botol kocok isi suka beber shade bijoux versatile', 'sentence_score': ['ringan transfer walopun pakai setting spray botol kocok [-1] isi suka [4] beber shade bijoux versatile'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"tipe kulitku kombinasi, somethinc bagus tapi isinya ga penuh. kedepannya semoga kagak ya ini kayak ga 100ml",tipe kulitku kombinasi somethinc bagus tapi isinya ga penuh kedepannya semoga kagak ya ini kayak ga ml,tipe kulitku kombinasi somethinc bagus tapi isinya enggak penuh kedepannya semoga kagak ya ini kayak enggak ml,"['tipe', 'kulitku', 'kombinasi', 'somethinc', 'bagus', 'tapi', 'isinya', 'enggak', 'penuh', 'kedepannya', 'semoga', 'kagak', 'ya', 'ini', 'kayak', 'enggak', 'ml']","['tipe', 'kulitku', 'kombinasi', 'somethinc', 'bagus', 'isinya', 'penuh', 'kedepannya', 'semoga', 'ml']","['tipe', 'kulit', 'kombinasi', 'somethinc', 'bagus', 'isi', 'penuh', 'depan', 'moga', 'ml']",tipe kulit kombinasi somethinc bagus isi penuh depan moga ml,"{'classified_text': 'tipe kulit kombinasi somethinc bagus [4] isi penuh [3] depan moga ml', 'tweet_text': ' tipe kulit kombinasi somethinc bagus isi penuh depan moga ml', 'sentence_score': ['tipe kulit kombinasi somethinc bagus [4] isi penuh [3] depan moga ml'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
"belum pernah nyoba yg hooman, smg cocok dikulit",belum pernah nyoba yg hooman smg cocok dikulit,belum pernah mencoba yang hooman semoga cocok dikulit,"['belum', 'pernah', 'mencoba', 'yang', 'hooman', 'semoga', 'cocok', 'dikulit']","['mencoba', 'hooman', 'semoga', 'cocok', 'dikulit']","['coba', 'hooman', 'moga', 'cocok', 'kulit']",coba hooman moga cocok kulit,"{'classified_text': 'coba hooman moga cocok [3] kulit', 'tweet_text': ' coba hooman moga cocok kulit', 'sentence_score': ['coba hooman moga cocok [3] kulit'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
"pacaking super baik
pengiriman super cepat
product super oke plus dpt harga diskon",pacaking super baik pengiriman super cepat product super oke plus dpt harga diskon,pacaking super baik pengiriman super cepat product super oke plus dapat harga diskon,"['pacaking', 'super', 'baik', 'pengiriman', 'super', 'cepat', 'product', 'super', 'oke', 'plus', 'dapat', 'harga', 'diskon']","['pacaking', 'super', 'pengiriman', 'super', 'cepat', 'product', 'super', 'oke', 'plus', 'harga', 'diskon']","['pacaking', 'super', 'kirim', 'super', 'cepat', 'product', 'super', 'oke', 'plus', 'harga', 'diskon']",pacaking super kirim super cepat product super oke plus harga diskon,"{'classified_text': 'pacaking super [4] kirim super [4] cepat [5] product super [4] oke [4] plus harga diskon', 'tweet_text': ' pacaking super kirim super cepat product super oke plus harga diskon', 'sentence_score': ['pacaking super [4] kirim super [4] cepat [5] product super [4] oke [4] plus harga diskon'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
"tekstur: kental bukan yg cair gitu, wangi permen karet suguss tapi ttp enak ga menyengat, kinerja produk belum terlalu terasa, baru pemakaian 2 minggu tipe kulitku kering",tekstur kental bukan yg cair gitu wangi permen karet suguss tapi ttp enak ga menyengat kinerja produk belum terlalu terasa baru pemakaian minggu tipe kulitku kering,tekstur kental bukan yang cair begitu wangi permen karet suguss tapi tetap enak enggak menyengat kinerja produk belum terlalu terasa baru pemakaian minggu tipe kulitku kering,"['tekstur', 'kental', 'bukan', 'yang', 'cair', 'begitu', 'wangi', 'permen', 'karet', 'suguss', 'tapi', 'tetap', 'enak', 'enggak', 'menyengat', 'kinerja', 'produk', 'belum', 'terlalu', 'terasa', 'baru', 'pemakaian', 'minggu', 'tipe', 'kulitku', 'kering']","['tekstur', 'kental', 'cair', 'wangi', 'permen', 'karet', 'suguss', 'menyengat', 'kinerja', 'produk', 'pemakaian', 'tipe', 'kulitku', 'kering']","['tekstur', 'kental', 'cair', 'wangi', 'permen', 'karet', 'suguss', 'sengat', 'kerja', 'produk', 'pakai', 'tipe', 'kulit', 'kering']",tekstur kental cair wangi permen karet suguss sengat kerja produk pakai tipe kulit kering,"{'classified_text': 'tekstur kental cair wangi permen karet suguss sengat kerja produk pakai tipe kulit kering', 'tweet_text': ' tekstur kental cair wangi permen karet suguss sengat kerja produk pakai tipe kulit kering', 'sentence_score': ['tekstur kental cair wangi permen karet suguss sengat kerja produk pakai tipe kulit kering'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
"baru mo nyoba hangover mascara nya.moga sesuai dgn harapan aku ya..
kl omega butter nya emng best",baru mo nyoba hangover mascara nya moga sesuai dgn harapan aku ya kl omega butter nya emng best,baru mau mencoba hangover mascara nya moga sesuai dengan harapan aku ya kalo omega butter nya memang best,"['baru', 'mau', 'mencoba', 'hangover', 'mascara', 'nya', 'moga', 'sesuai', 'dengan', 'harapan', 'aku', 'ya', 'kalo', 'omega', 'butter', 'nya', 'memang', 'best']","['mencoba', 'hangover', 'mascara', 'harapan', 'omega', 'butter', 'best']","['coba', 'hangover', 'mascara', 'harap', 'omega', 'butter', 'best']",coba hangover mascara harap omega butter best,"{'classified_text': 'coba hangover mascara harap omega butter best', 'tweet_text': ' coba hangover mascara harap omega butter best', 'sentence_score': ['coba hangover mascara harap omega butter best'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
"ini eyeliner gel pencil yg bener2 kecintaan aku.bener2 awet biar d pake seharian ,udh kena wudhu dll ttp on..secinta ituu",ini eyeliner gel pencil yg bener kecintaan aku bener awet biar pake seharian udh kena wudhu dll ttp on secinta ituu,ini eyeliner gel pencil yang benar kecintaan aku benar awet biar pakai seharian sudah kena wudhu dll tetap on secinta itu,"['ini', 'eyeliner', 'gel', 'pencil', 'yang', 'benar', 'kecintaan', 'aku', 'benar', 'awet', 'biar', 'pakai', 'seharian', 'sudah', 'kena', 'wudhu', 'dll', 'tetap', 'on', 'secinta', 'itu']","['eyeliner', 'gel', 'pencil', 'kecintaan', 'awet', 'pakai', 'seharian', 'wudhu', 'secinta']","['eyeliner', 'gel', 'pencil', 'cinta', 'awet', 'pakai', 'hari', 'wudhu', 'cinta']",eyeliner gel pencil cinta awet pakai hari wudhu cinta,"{'classified_text': 'eyeliner gel pencil cinta [5] awet pakai hari wudhu cinta [5]', 'tweet_text': ' eyeliner gel pencil cinta awet pakai hari wudhu cinta', 'sentence_score': ['eyeliner gel pencil cinta [5] awet pakai hari wudhu cinta [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
"udah di kecewain sama pembelian yg lalu, akhirnya paket yg sekarang sesuai dikirim free nyaa!!!",udah di kecewain sama pembelian yg lalu akhirnya paket yg sekarang sesuai dikirim free nyaa,sudah di kecewain sama pembelian yang lalu akhirnya paket yang sekarang sesuai dikirim free nya,"['sudah', 'di', 'kecewain', 'sama', 'pembelian', 'yang', 'lalu', 'akhirnya', 'paket', 'yang', 'sekarang', 'sesuai', 'dikirim', 'free', 'nya']","['kecewain', 'pembelian', 'paket', 'dikirim']","['kecewain', 'beli', 'paket', 'kirim']",kecewain beli paket kirim,"{'classified_text': 'kecewain beli paket kirim', 'tweet_text': ' kecewain beli paket kirim', 'sentence_score': ['kecewain beli paket kirim'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'kulitku', 'pori']","['tipe', 'kulit', 'minyak', 'kulit', 'pori']",tipe kulit minyak kulit pori,"{'classified_text': 'tipe kulit minyak kulit pori', 'tweet_text': ' tipe kulit minyak kulit pori', 'sentence_score': ['tipe kulit minyak kulit pori'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
"tipe kulitku sensitif, tapi cocok pakai ini, nyaman dan enak digunakan",tipe kulitku sensitif tapi cocok pakai ini nyaman dan enak digunakan,tipe kulitku sensitif tapi cocok pakai ini nyaman dan enak digunakan,"['tipe', 'kulitku', 'sensitif', 'tapi', 'cocok', 'pakai', 'ini', 'nyaman', 'dan', 'enak', 'digunakan']","['tipe', 'kulitku', 'sensitif', 'cocok', 'pakai', 'nyaman']","['tipe', 'kulit', 'sensitif', 'cocok', 'pakai', 'nyaman']",tipe kulit sensitif cocok pakai nyaman,"{'classified_text': 'tipe kulit sensitif [-2] cocok [3] pakai nyaman [4]', 'tweet_text': ' tipe kulit sensitif cocok pakai nyaman', 'sentence_score': ['tipe kulit sensitif [-2] cocok [3] pakai nyaman [4]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
"salah satu sunscreen favorit, cukup lama jadi incaran, selain real spf, gak bikin whitecast buat kulit muka cowok, ada sensasi dinginnya juga.",salah satu sunscreen favorit cukup lama jadi incaran selain real spf gak bikin whitecast buat kulit muka cowok ada sensasi dinginnya juga,salah satu sunscreen favorit cukup lama jadi incaran selain real spf enggak bikin whitecast buat kulit muka cowok ada sensasi dinginnya juga,"['salah', 'satu', 'sunscreen', 'favorit', 'cukup', 'lama', 'jadi', 'incaran', 'selain', 'real', 'spf', 'enggak', 'bikin', 'whitecast', 'buat', 'kulit', 'muka', 'cowok', 'ada', 'sensasi', 'dinginnya', 'juga']","['sunscreen', 'favorit', 'incaran', 'real', 'spf', 'whitecast', 'kulit', 'muka', 'cowok', 'sensasi', 'dinginnya']","['sunscreen', 'favorit', 'incar', 'real', 'spf', 'whitecast', 'kulit', 'muka', 'cowok', 'sensasi', 'dingin']",sunscreen favorit incar real spf whitecast kulit muka cowok sensasi dingin,"{'classified_text': 'sunscreen favorit incar real spf whitecast kulit muka cowok sensasi [-2] dingin [-1]', 'tweet_text': ' sunscreen favorit incar real spf whitecast kulit muka cowok sensasi dingin', 'sentence_score': ['sunscreen favorit incar real spf whitecast kulit muka cowok sensasi [-2] dingin [-1]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}"
tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku kering tipe kulitku kombinasi tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif', 'kulitku', 'jerawat', 'kulitku', 'kerutan', 'kulitku', 'pori']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'kering', 'tipe', 'kulit', 'kombinasi', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'sensitif', 'kulit', 'jerawat', 'kulit', 'kerut', 'kulit', 'pori']",tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal tipe kulit sensitif kulit jerawat kulit kerut kulit pori,"{'classified_text': 'tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal [-1] tipe kulit sensitif [-2] kulit jerawat kulit kerut [-2] kulit pori', 'tweet_text': ' tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal tipe kulit sensitif kulit jerawat kulit kerut kulit pori', 'sentence_score': ['tipe kulit minyak tipe kulit kering tipe kulit kombinasi tipe kulit normal [-1] tipe kulit sensitif [-2] kulit jerawat kulit kerut [-2] kulit pori'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}"
"ringan, warnanya gelap, bagus, sesuai pesanan, tapi gk senempel itu ternyata di bibir aku",ringan warnanya gelap bagus sesuai pesanan tapi gk senempel itu ternyata di bibir aku,ringan warnanya gelap bagus sesuai pesanan tapi enggak senempel itu ternyata di bibir aku,"['ringan', 'warnanya', 'gelap', 'bagus', 'sesuai', 'pesanan', 'tapi', 'enggak', 'senempel', 'itu', 'ternyata', 'di', 'bibir', 'aku']","['ringan', 'warnanya', 'gelap', 'bagus', 'pesanan', 'senempel', 'bibir']","['ringan', 'warna', 'gelap', 'bagus', 'pesan', 'senempel', 'bibir']",ringan warna gelap bagus pesan senempel bibir,"{'classified_text': 'ringan warna gelap [-2] bagus [4] pesan senempel bibir', 'tweet_text': ' ringan warna gelap bagus pesan senempel bibir', 'sentence_score': ['ringan warna gelap [-2] bagus [4] pesan senempel bibir'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
