case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
masalah kulitku jerawat,masalah kulitku jerawat,masalah kulitku jerawat,"['masalah', 'kulitku', 'jerawat']","['kulitku', 'jerawat']","['kulit', 'jerawat']",kulit jerawat,"{'classified_text': 'kulit jerawat', 'tweet_text': ' kulit jerawat', 'sentence_score': ['kulit jerawat'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",kulit jerawat, kulit jerawat,['kulit jerawat'],1,-1,netral
tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan tipe kulitku sensitif masalah kulitku pori besar,tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan tipe kulitku sensitif masalah kulitku pori besar,tipe kulitku kering tipe kulitku berminyak masalah kulitku jerawat tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan tipe kulitku sensitif masalah kulitku pori besar,"['tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'sensitif', 'kulitku', 'pori']","['tipe', 'kulit', 'kering', 'tipe', 'kulit', 'minyak', 'kulit', 'jerawat', 'tipe', 'kulit', 'normal', 'tipe', 'kulit', 'kombinasi', 'kulit', 'kerut', 'tipe', 'kulit', 'sensitif', 'kulit', 'pori']",tipe kulit kering tipe kulit minyak kulit jerawat tipe kulit normal tipe kulit kombinasi kulit kerut tipe kulit sensitif kulit pori,"{'classified_text': 'tipe kulit kering tipe kulit minyak kulit jerawat tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] tipe kulit sensitif [-2] kulit pori', 'tweet_text': ' tipe kulit kering tipe kulit minyak kulit jerawat tipe kulit normal tipe kulit kombinasi kulit kerut tipe kulit sensitif kulit pori', 'sentence_score': ['tipe kulit kering tipe kulit minyak kulit jerawat tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] tipe kulit sensitif [-2] kulit pori'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit kering tipe kulit minyak kulit jerawat tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] tipe kulit sensitif [-2] kulit pori, tipe kulit kering tipe kulit minyak kulit jerawat tipe kulit normal tipe kulit kombinasi kulit kerut tipe kulit sensitif kulit pori,['tipe kulit kering tipe kulit minyak kulit jerawat tipe kulit normal [-1] tipe kulit kombinasi kulit kerut [-2] tipe kulit sensitif [-2] kulit pori'],1,-2,negatif
udah beli fw azarine hampir setengah tahunan cocok dimuka ku yg oily . pengiriman standard dan dapet murah bgt cuma 11ribu woilaah mantep bgt tokped.. sering-sering kasi promo gede2an danbocher juga hahah,udah beli fw azarine hampir setengah tahunan cocok dimuka ku yg oily pengiriman standard dan dapet murah bgt cuma ribu woilaah mantep bgt tokped sering sering kasi promo gedean danbocher juga,sudah beli face wash azarine hampir setengah tahunan cocok dimuka ku yang oily pengiriman standard dan dapat murah banget cuma ribu woilaah mantap banget tokped sering sering kasih promo gedean danbocher juga,"['sudah', 'beli', 'face', 'wash', 'azarine', 'hampir', 'setengah', 'tahunan', 'cocok', 'dimuka', 'ku', 'yang', 'oily', 'pengiriman', 'standard', 'dan', 'dapat', 'murah', 'banget', 'cuma', 'ribu', 'woilaah', 'mantap', 'banget', 'tokped', 'sering', 'sering', 'kasih', 'promo', 'gedean', 'danbocher', 'juga']","['beli', 'face', 'wash', 'azarine', 'tahunan', 'cocok', 'dimuka', 'ku', 'oily', 'pengiriman', 'standard', 'murah', 'banget', 'woilaah', 'mantap', 'banget', 'tokped', 'kasih', 'promo', 'gedean', 'danbocher']","['beli', 'face', 'wash', 'azarine', 'tahun', 'cocok', 'muka', 'ku', 'oily', 'kirim', 'standard', 'murah', 'banget', 'woilaah', 'mantap', 'banget', 'tokped', 'kasih', 'promo', 'gede', 'danbocher']",beli face wash azarine tahun cocok muka ku oily kirim standard murah banget woilaah mantap banget tokped kasih promo gede danbocher,"{'classified_text': 'beli face wash azarine tahun cocok [3] muka ku oily kirim standard murah [3] banget woilaah mantap [5] banget tokped kasih promo gede danbocher', 'tweet_text': ' beli face wash azarine tahun cocok muka ku oily kirim standard murah banget woilaah mantap banget tokped kasih promo gede danbocher', 'sentence_score': ['beli face wash azarine tahun cocok [3] muka ku oily kirim standard murah [3] banget woilaah mantap [5] banget tokped kasih promo gede danbocher'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",beli face wash azarine tahun cocok [3] muka ku oily kirim standard murah [3] banget woilaah mantap [5] banget tokped kasih promo gede danbocher, beli face wash azarine tahun cocok muka ku oily kirim standard murah banget woilaah mantap banget tokped kasih promo gede danbocher,['beli face wash azarine tahun cocok [3] muka ku oily kirim standard murah [3] banget woilaah mantap [5] banget tokped kasih promo gede danbocher'],5,-1,positif
baru nyoba dan warna sesuai ekspektasi,baru nyoba dan warna sesuai ekspektasi,baru mencoba dan warna sesuai ekspektasi,"['baru', 'mencoba', 'dan', 'warna', 'sesuai', 'ekspektasi']","['mencoba', 'warna', 'ekspektasi']","['coba', 'warna', 'ekspektasi']",coba warna ekspektasi,"{'classified_text': 'coba warna ekspektasi', 'tweet_text': ' coba warna ekspektasi', 'sentence_score': ['coba warna ekspektasi'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",coba warna ekspektasi, coba warna ekspektasi,['coba warna ekspektasi'],1,-1,netral
favorite,favorite,favorite,['favorite'],['favorite'],['favorite'],favorite,"{'classified_text': 'favorite', 'tweet_text': ' favorite', 'sentence_score': ['favorite'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",favorite, favorite,['favorite'],1,-1,netral
"terima kasih, barang sampe dengan selamat dan tepat waktu bgt. sering sering diskonannya karena aku cocok bgt pake ini. jadi bakalan beli terus.",terima kasih barang sampe dengan selamat dan tepat waktu bgt sering sering diskonannya karena aku cocok bgt pake ini jadi bakalan beli terus,terima kasih barang sampai dengan selamat dan tepat waktu banget sering sering diskonannya karena aku cocok banget pakai ini jadi bakalan beli terus,"['terima', 'kasih', 'barang', 'sampai', 'dengan', 'selamat', 'dan', 'tepat', 'waktu', 'banget', 'sering', 'sering', 'diskonannya', 'karena', 'aku', 'cocok', 'banget', 'pakai', 'ini', 'jadi', 'bakalan', 'beli', 'terus']","['terima', 'kasih', 'selamat', 'banget', 'diskonannya', 'cocok', 'banget', 'pakai', 'beli']","['terima', 'kasih', 'selamat', 'banget', 'diskon', 'cocok', 'banget', 'pakai', 'beli']",terima kasih selamat banget diskon cocok banget pakai beli,"{'classified_text': 'terima kasih [4] selamat [6] banget diskon cocok [4] banget pakai beli', 'tweet_text': ' terima kasih selamat banget diskon cocok banget pakai beli', 'sentence_score': ['terima kasih [4] selamat [6] banget diskon cocok [4] banget pakai beli'], 'max_positive': 6, 'max_negative': -1, 'kelas': 'positif'}",terima kasih [4] selamat [6] banget diskon cocok [4] banget pakai beli, terima kasih selamat banget diskon cocok banget pakai beli,['terima kasih [4] selamat [6] banget diskon cocok [4] banget pakai beli'],6,-1,positif
mantabbb,mantabbb,mantap,['mantap'],['mantap'],['mantap'],mantap,"{'classified_text': 'mantap [4]', 'tweet_text': ' mantap', 'sentence_score': ['mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mantap [4], mantap,['mantap [4]'],4,-1,positif
"bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman + gak ada bublewrapnya, padahal perjalanan jauh dari sidoarjo sampe jakarta.",bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman gak ada bublewrapnya padahal perjalanan jauh dari sidoarjo sampe jakarta,bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman enggak ada bublewrapnya padahal perjalanan jauh dari sidoarjo sampai jakarta,"['bagus', 'sih', 'produknya', 'cocok', 'cuma', 'sedikit', 'kecewa', 'packagingnya', 'kurang', 'aman', 'enggak', 'ada', 'bublewrapnya', 'padahal', 'perjalanan', 'jauh', 'dari', 'sidoarjo', 'sampai', 'jakarta']","['bagus', 'produknya', 'cocok', 'kecewa', 'packagingnya', 'aman', 'bublewrapnya', 'perjalanan', 'sidoarjo', 'jakarta']","['bagus', 'produk', 'cocok', 'kecewa', 'packagingnya', 'aman', 'bublewrapnya', 'jalan', 'sidoarjo', 'jakarta']",bagus produk cocok kecewa packagingnya aman bublewrapnya jalan sidoarjo jakarta,"{'classified_text': 'bagus [4] produk cocok [3] kecewa [-3] packagingnya aman [4] bublewrapnya jalan sidoarjo jakarta', 'tweet_text': ' bagus produk cocok kecewa packagingnya aman bublewrapnya jalan sidoarjo jakarta', 'sentence_score': ['bagus [4] produk cocok [3] kecewa [-3] packagingnya aman [4] bublewrapnya jalan sidoarjo jakarta'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",bagus [4] produk cocok [3] kecewa [-3] packagingnya aman [4] bublewrapnya jalan sidoarjo jakarta, bagus produk cocok kecewa packagingnya aman bublewrapnya jalan sidoarjo jakarta,['bagus [4] produk cocok [3] kecewa [-3] packagingnya aman [4] bublewrapnya jalan sidoarjo jakarta'],4,-3,positif
"pengirimannya pake sicepat tapi sangat lambat hihi,udh ada d gudang tgl 23/24 baru diantar ke rmh tgl 27,sayang banget ga sesuai nama",pengirimannya pake sicepat tapi sangat lambat udh ada gudang tgl baru diantar ke rmh tgl sayang banget ga sesuai nama,pengirimannya pakai sicepat tapi sangat lambat sudah ada gudang tanggal baru diantar ke rumah tanggal sayang banget enggak sesuai nama,"['pengirimannya', 'pakai', 'sicepat', 'tapi', 'sangat', 'lambat', 'sudah', 'ada', 'gudang', 'tanggal', 'baru', 'diantar', 'ke', 'rumah', 'tanggal', 'sayang', 'banget', 'enggak', 'sesuai', 'nama']","['pengirimannya', 'pakai', 'sicepat', 'lambat', 'gudang', 'diantar', 'rumah', 'sayang', 'banget']","['kirim', 'pakai', 'sicepat', 'lambat', 'gudang', 'antar', 'rumah', 'sayang', 'banget']",kirim pakai sicepat lambat gudang antar rumah sayang banget,"{'classified_text': 'kirim pakai sicepat lambat [-3] gudang antar rumah sayang [5] banget', 'tweet_text': ' kirim pakai sicepat lambat gudang antar rumah sayang banget', 'sentence_score': ['kirim pakai sicepat lambat [-3] gudang antar rumah sayang [5] banget'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}",kirim pakai sicepat lambat [-3] gudang antar rumah sayang [5] banget, kirim pakai sicepat lambat gudang antar rumah sayang banget,['kirim pakai sicepat lambat [-3] gudang antar rumah sayang [5] banget'],5,-3,positif
paket diterima dengan keadaan baik,paket diterima dengan keadaan baik,paket diterima dengan keadaan baik,"['paket', 'diterima', 'dengan', 'keadaan', 'baik']","['paket', 'diterima']","['paket', 'terima']",paket terima,"{'classified_text': 'paket terima', 'tweet_text': ' paket terima', 'sentence_score': ['paket terima'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",paket terima, paket terima,['paket terima'],1,-1,netral
"baru pertama pakai, semoga cocok yah min tipe kulitku berminyak tipe kulitku kombinasi",baru pertama pakai semoga cocok yah min tipe kulitku berminyak tipe kulitku kombinasi,baru pertama pakai semoga cocok ya min tipe kulitku berminyak tipe kulitku kombinasi,"['baru', 'pertama', 'pakai', 'semoga', 'cocok', 'ya', 'min', 'tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi']","['pakai', 'semoga', 'cocok', 'tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kombinasi']","['pakai', 'moga', 'cocok', 'tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'kombinasi']",pakai moga cocok tipe kulit minyak tipe kulit kombinasi,"{'classified_text': 'pakai moga cocok [3] tipe kulit minyak tipe kulit kombinasi', 'tweet_text': ' pakai moga cocok tipe kulit minyak tipe kulit kombinasi', 'sentence_score': ['pakai moga cocok [3] tipe kulit minyak tipe kulit kombinasi'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",pakai moga cocok [3] tipe kulit minyak tipe kulit kombinasi, pakai moga cocok tipe kulit minyak tipe kulit kombinasi,['pakai moga cocok [3] tipe kulit minyak tipe kulit kombinasi'],3,-1,positif
fast respon,fast respon,fast respon,"['fast', 'respon']","['fast', 'respon']","['fast', 'respon']",fast respon,"{'classified_text': 'fast respon', 'tweet_text': ' fast respon', 'sentence_score': ['fast respon'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",fast respon, fast respon,['fast respon'],1,-1,netral
okeeeeeeeee,okeeeeeeeee,oke,['oke'],['oke'],['oke'],oke,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",oke [3], oke,['oke [3]'],3,-1,positif
niceeeee,niceeeee,nice,['nice'],['nice'],['nice'],nice,"{'classified_text': 'nice', 'tweet_text': ' nice', 'sentence_score': ['nice'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",nice, nice,['nice'],1,-1,netral
"worth the price, 2 pcs dapat harga 60k cashback 8k🤓",worth the price pcs dapat harga cashback,worth the price pcs dapat harga cashback,"['worth', 'the', 'price', 'pcs', 'dapat', 'harga', 'cashback']","['worth', 'price', 'pcs', 'harga', 'cashback']","['worth', 'price', 'pcs', 'harga', 'cashback']",worth price pcs harga cashback,"{'classified_text': 'worth price pcs harga cashback', 'tweet_text': ' worth price pcs harga cashback', 'sentence_score': ['worth price pcs harga cashback'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",worth price pcs harga cashback, worth price pcs harga cashback,['worth price pcs harga cashback'],1,-1,netral
thx ya😉😊,thx ya,thanks ya,"['thanks', 'ya']",['thanks'],['thanks'],thanks,"{'classified_text': 'thanks', 'tweet_text': ' thanks', 'sentence_score': ['thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",thanks, thanks,['thanks'],1,-1,netral
tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'kulitku', 'pori']","['tipe', 'kulit', 'minyak', 'kulit', 'pori']",tipe kulit minyak kulit pori,"{'classified_text': 'tipe kulit minyak kulit pori', 'tweet_text': ' tipe kulit minyak kulit pori', 'sentence_score': ['tipe kulit minyak kulit pori'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit minyak kulit pori, tipe kulit minyak kulit pori,['tipe kulit minyak kulit pori'],1,-1,netral
"packing aman banget , semoga cocok",packing aman banget semoga cocok,packing aman banget semoga cocok,"['packing', 'aman', 'banget', 'semoga', 'cocok']","['packing', 'aman', 'banget', 'semoga', 'cocok']","['packing', 'aman', 'banget', 'moga', 'cocok']",packing aman banget moga cocok,"{'classified_text': 'packing aman [5] banget moga cocok [3]', 'tweet_text': ' packing aman banget moga cocok', 'sentence_score': ['packing aman [5] banget moga cocok [3]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",packing aman [5] banget moga cocok [3], packing aman banget moga cocok,['packing aman [5] banget moga cocok [3]'],5,-1,positif
"alhamdulillah aku cocok pakai azarine, kulit wajah ku perlahan teratasi dgn azarine, thanks azarine 👍🤗💗💗",alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dgn azarine thanks azarine,alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dengan azarine thanks azarine,"['alhamdulillah', 'aku', 'cocok', 'pakai', 'azarine', 'kulit', 'wajah', 'ku', 'perlahan', 'teratasi', 'dengan', 'azarine', 'thanks', 'azarine']","['cocok', 'pakai', 'azarine', 'kulit', 'ku', 'perlahan', 'teratasi', 'azarine', 'thanks', 'azarine']","['cocok', 'pakai', 'azarine', 'kulit', 'ku', 'perlahan', 'atas', 'azarine', 'thanks', 'azarine']",cocok pakai azarine kulit ku perlahan atas azarine thanks azarine,"{'classified_text': 'cocok [3] pakai azarine kulit ku perlahan atas azarine thanks azarine', 'tweet_text': ' cocok pakai azarine kulit ku perlahan atas azarine thanks azarine', 'sentence_score': ['cocok [3] pakai azarine kulit ku perlahan atas azarine thanks azarine'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] pakai azarine kulit ku perlahan atas azarine thanks azarine, cocok pakai azarine kulit ku perlahan atas azarine thanks azarine,['cocok [3] pakai azarine kulit ku perlahan atas azarine thanks azarine'],3,-1,positif
"repurchased, nda bikin kusam, affordable 😄",repurchased nda bikin kusam affordable,repurchased indak bikin kusam affordable,"['repurchased', 'indak', 'bikin', 'kusam', 'affordable']","['repurchased', 'indak', 'kusam', 'affordable']","['repurchased', 'indak', 'kusam', 'affordable']",repurchased indak kusam affordable,"{'classified_text': 'repurchased indak kusam [-3] affordable', 'tweet_text': ' repurchased indak kusam affordable', 'sentence_score': ['repurchased indak kusam [-3] affordable'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",repurchased indak kusam [-3] affordable, repurchased indak kusam affordable,['repurchased indak kusam [-3] affordable'],1,-3,negatif
"susah di blend, jadi alisnya numpuk ngeblock huhu",susah di blend jadi alisnya numpuk ngeblock huhu,susah di blend jadi alisnya numpuk ngeblock huhu,"['susah', 'di', 'blend', 'jadi', 'alisnya', 'numpuk', 'ngeblock', 'huhu']","['susah', 'blend', 'alisnya', 'numpuk', 'ngeblock', 'huhu']","['susah', 'blend', 'alis', 'numpuk', 'ngeblock', 'huhu']",susah blend alis numpuk ngeblock huhu,"{'classified_text': 'susah [-3] blend alis numpuk ngeblock huhu', 'tweet_text': ' susah blend alis numpuk ngeblock huhu', 'sentence_score': ['susah [-3] blend alis numpuk ngeblock huhu'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",susah [-3] blend alis numpuk ngeblock huhu, susah blend alis numpuk ngeblock huhu,['susah [-3] blend alis numpuk ngeblock huhu'],1,-3,negatif
"wanginya lumayan nyaman,,",wanginya lumayan nyaman,wanginya lumayan nyaman,"['wanginya', 'lumayan', 'nyaman']","['wanginya', 'lumayan', 'nyaman']","['wangi', 'lumayan', 'nyaman']",wangi lumayan nyaman,"{'classified_text': 'wangi lumayan [2] nyaman [5]', 'tweet_text': ' wangi lumayan nyaman', 'sentence_score': ['wangi lumayan [2] nyaman [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",wangi lumayan [2] nyaman [5], wangi lumayan nyaman,['wangi lumayan [2] nyaman [5]'],5,-1,positif
suka wanginya,suka wanginya,suka wanginya,"['suka', 'wanginya']","['suka', 'wanginya']","['suka', 'wangi']",suka wangi,"{'classified_text': 'suka [4] wangi', 'tweet_text': ' suka wangi', 'sentence_score': ['suka [4] wangi'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",suka [4] wangi, suka wangi,['suka [4] wangi'],4,-1,positif
cocok di aku,cocok di aku,cocok di aku,"['cocok', 'di', 'aku']",['cocok'],['cocok'],cocok,"{'classified_text': 'cocok [3]', 'tweet_text': ' cocok', 'sentence_score': ['cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",cocok [3], cocok,['cocok [3]'],3,-1,positif
tipe kulitku berminyak masalah kulitku jerawat,tipe kulitku berminyak masalah kulitku jerawat,tipe kulitku berminyak masalah kulitku jerawat,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat']","['tipe', 'kulitku', 'berminyak', 'kulitku', 'jerawat']","['tipe', 'kulit', 'minyak', 'kulit', 'jerawat']",tipe kulit minyak kulit jerawat,"{'classified_text': 'tipe kulit minyak kulit jerawat', 'tweet_text': ' tipe kulit minyak kulit jerawat', 'sentence_score': ['tipe kulit minyak kulit jerawat'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit minyak kulit jerawat, tipe kulit minyak kulit jerawat,['tipe kulit minyak kulit jerawat'],1,-1,netral
"tipe kulitku berminyak masalah kulitku jerawat
ini sunscreen ter thebest untuk kulit oily acne prone bagus banget
luvv",tipe kulitku berminyak masalah kulitku jerawat ini sunscreen ter thebest untuk kulit oily acne prone bagus banget luvv,tipe kulitku berminyak masalah kulitku jerawat ini sunscreen ter thebest untuk kulit oily acne prone bagus banget luvv,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'ini', 'sunscreen', 'ter', 'thebest', 'untuk', 'kulit', 'oily', 'acne', 'prone', 'bagus', 'banget', 'luvv']","['tipe', 'kulitku', 'berminyak', 'kulitku', 'jerawat', 'sunscreen', 'thebest', 'kulit', 'oily', 'acne', 'prone', 'bagus', 'banget', 'luvv']","['tipe', 'kulit', 'minyak', 'kulit', 'jerawat', 'sunscreen', 'thebest', 'kulit', 'oily', 'acne', 'prone', 'bagus', 'banget', 'luvv']",tipe kulit minyak kulit jerawat sunscreen thebest kulit oily acne prone bagus banget luvv,"{'classified_text': 'tipe kulit minyak kulit jerawat sunscreen thebest kulit oily acne prone bagus [5] banget luvv', 'tweet_text': ' tipe kulit minyak kulit jerawat sunscreen thebest kulit oily acne prone bagus banget luvv', 'sentence_score': ['tipe kulit minyak kulit jerawat sunscreen thebest kulit oily acne prone bagus [5] banget luvv'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",tipe kulit minyak kulit jerawat sunscreen thebest kulit oily acne prone bagus [5] banget luvv, tipe kulit minyak kulit jerawat sunscreen thebest kulit oily acne prone bagus banget luvv,['tipe kulit minyak kulit jerawat sunscreen thebest kulit oily acne prone bagus [5] banget luvv'],5,-1,positif
"tidak bisa berkata² lagi dehh buat moisturizer yang satu ini, mantep pollll, menenangkan banget disaat jerawat sedang meradang, aku sudah makai sampai pembelian kedua",tidak bisa berkata lagi dehh buat moisturizer yang satu ini mantep pollll menenangkan banget disaat jerawat sedang meradang aku sudah makai sampai pembelian kedua,tidak bisa berkata lagi deh buat moisturizer yang satu ini mantap pol menenangkan banget disaat jerawat sedang meradang aku sudah makai sampai pembelian kedua,"['tidak', 'bisa', 'berkata', 'lagi', 'deh', 'buat', 'moisturizer', 'yang', 'satu', 'ini', 'mantap', 'pol', 'menenangkan', 'banget', 'disaat', 'jerawat', 'sedang', 'meradang', 'aku', 'sudah', 'makai', 'sampai', 'pembelian', 'kedua']","['moisturizer', 'mantap', 'menenangkan', 'banget', 'disaat', 'jerawat', 'meradang', 'makai', 'pembelian']","['moisturizer', 'mantap', 'tenang', 'banget', 'saat', 'jerawat', 'radang', 'maka', 'beli']",moisturizer mantap tenang banget saat jerawat radang maka beli,"{'classified_text': 'moisturizer mantap [4] tenang [6] banget saat jerawat radang [-3] maka beli', 'tweet_text': ' moisturizer mantap tenang banget saat jerawat radang maka beli', 'sentence_score': ['moisturizer mantap [4] tenang [6] banget saat jerawat radang [-3] maka beli'], 'max_positive': 6, 'max_negative': -3, 'kelas': 'positif'}",moisturizer mantap [4] tenang [6] banget saat jerawat radang [-3] maka beli, moisturizer mantap tenang banget saat jerawat radang maka beli,['moisturizer mantap [4] tenang [6] banget saat jerawat radang [-3] maka beli'],6,-3,positif
"tekstur lembut seperti gel, cepat menyerap dikulit dan tidak terasa lengket. cocok untuk yang gampang kering, karena melembapkan.
pengiriman cepat.
packing oke
good job, seller!
good luck!",tekstur lembut seperti gel cepat menyerap dikulit dan tidak terasa lengket cocok untuk yang gampang kering karena melembapkan pengiriman cepat packing oke good job seller good luck,tekstur lembut seperti gel cepat menyerap dikulit dan tidak terasa lengket cocok untuk yang gampang kering karena melembapkan pengiriman cepat packing oke good job seller good luck,"['tekstur', 'lembut', 'seperti', 'gel', 'cepat', 'menyerap', 'dikulit', 'dan', 'tidak', 'terasa', 'lengket', 'cocok', 'untuk', 'yang', 'gampang', 'kering', 'karena', 'melembapkan', 'pengiriman', 'cepat', 'packing', 'oke', 'good', 'job', 'seller', 'good', 'luck']","['tekstur', 'lembut', 'gel', 'cepat', 'menyerap', 'dikulit', 'lengket', 'cocok', 'gampang', 'kering', 'melembapkan', 'pengiriman', 'cepat', 'packing', 'oke', 'job', 'seller', 'luck']","['tekstur', 'lembut', 'gel', 'cepat', 'serap', 'kulit', 'lengket', 'cocok', 'gampang', 'kering', 'lembap', 'kirim', 'cepat', 'packing', 'oke', 'job', 'seller', 'luck']",tekstur lembut gel cepat serap kulit lengket cocok gampang kering lembap kirim cepat packing oke job seller luck,"{'classified_text': 'tekstur lembut [4] gel cepat [4] serap kulit lengket cocok [3] gampang kering lembap kirim cepat [4] packing oke [3] job seller luck', 'tweet_text': ' tekstur lembut gel cepat serap kulit lengket cocok gampang kering lembap kirim cepat packing oke job seller luck', 'sentence_score': ['tekstur lembut [4] gel cepat [4] serap kulit lengket cocok [3] gampang kering lembap kirim cepat [4] packing oke [3] job seller luck'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",tekstur lembut [4] gel cepat [4] serap kulit lengket cocok [3] gampang kering lembap kirim cepat [4] packing oke [3] job seller luck, tekstur lembut gel cepat serap kulit lengket cocok gampang kering lembap kirim cepat packing oke job seller luck,['tekstur lembut [4] gel cepat [4] serap kulit lengket cocok [3] gampang kering lembap kirim cepat [4] packing oke [3] job seller luck'],4,-1,positif
tipe kulitku kombinasi masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku pori besar,tipe kulitku kombinasi masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'kulitku', 'pori']","['tipe', 'kulit', 'kombinasi', 'kulit', 'pori']",tipe kulit kombinasi kulit pori,"{'classified_text': 'tipe kulit kombinasi kulit pori', 'tweet_text': ' tipe kulit kombinasi kulit pori', 'sentence_score': ['tipe kulit kombinasi kulit pori'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kombinasi kulit pori, tipe kulit kombinasi kulit pori,['tipe kulit kombinasi kulit pori'],1,-1,netral
kedua kalinya pakai produk ini! cocok banget di kulitku yang (sepertinya) kombinasi dan acne prone hihihi,kedua kalinya pakai produk ini cocok banget di kulitku yang sepertinya kombinasi dan acne prone,kedua kalinya pakai produk ini cocok banget di kulitku yang sepertinya kombinasi dan acne prone,"['kedua', 'kalinya', 'pakai', 'produk', 'ini', 'cocok', 'banget', 'di', 'kulitku', 'yang', 'sepertinya', 'kombinasi', 'dan', 'acne', 'prone']","['kalinya', 'pakai', 'produk', 'cocok', 'banget', 'kulitku', 'kombinasi', 'acne', 'prone']","['kali', 'pakai', 'produk', 'cocok', 'banget', 'kulit', 'kombinasi', 'acne', 'prone']",kali pakai produk cocok banget kulit kombinasi acne prone,"{'classified_text': 'kali pakai produk cocok [4] banget kulit kombinasi acne prone', 'tweet_text': ' kali pakai produk cocok banget kulit kombinasi acne prone', 'sentence_score': ['kali pakai produk cocok [4] banget kulit kombinasi acne prone'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",kali pakai produk cocok [4] banget kulit kombinasi acne prone, kali pakai produk cocok banget kulit kombinasi acne prone,['kali pakai produk cocok [4] banget kulit kombinasi acne prone'],4,-1,positif
