case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
semoga cocok,semoga cocok,semoga cocok,"['semoga', 'cocok']","['semoga', 'cocok']","['moga', 'cocok']",moga cocok,"{'classified_text': 'moga cocok [3]', 'tweet_text': ' moga cocok', 'sentence_score': ['moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",moga cocok [3], moga cocok,['moga cocok [3]'],3,-1,positif
barang telah sampai dengan selamat. penjual responsif. terima kasih,barang telah sampai dengan selamat penjual responsif terima kasih,barang telah sampai dengan selamat penjual responsif terima kasih,"['barang', 'telah', 'sampai', 'dengan', 'selamat', 'penjual', 'responsif', 'terima', 'kasih']","['selamat', 'penjual', 'responsif', 'terima', 'kasih']","['selamat', 'jual', 'responsif', 'terima', 'kasih']",selamat jual responsif terima kasih,"{'classified_text': 'selamat [4] jual responsif terima kasih [4]', 'tweet_text': ' selamat jual responsif terima kasih', 'sentence_score': ['selamat [4] jual responsif terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",selamat [4] jual responsif terima kasih [4], selamat jual responsif terima kasih,['selamat [4] jual responsif terima kasih [4]'],4,-1,positif
"beli untuk mama, karna cocok bgt di mama. usia mama udah 50+, pakai ini kulit jadi mulus dan kerutan berkurang. udah repurchase 3 kali 🤭",beli untuk mama karna cocok bgt di mama usia mama udah pakai ini kulit jadi mulus dan kerutan berkurang udah repurchase kali,beli untuk mama karena cocok banget di mama usia mama sudah pakai ini kulit jadi mulus dan kerutan berkurang sudah repurchase kali,"['beli', 'untuk', 'mama', 'karena', 'cocok', 'banget', 'di', 'mama', 'usia', 'mama', 'sudah', 'pakai', 'ini', 'kulit', 'jadi', 'mulus', 'dan', 'kerutan', 'berkurang', 'sudah', 'repurchase', 'kali']","['beli', 'mama', 'cocok', 'banget', 'mama', 'usia', 'mama', 'pakai', 'kulit', 'mulus', 'kerutan', 'berkurang', 'repurchase']","['beli', 'mama', 'cocok', 'banget', 'mama', 'usia', 'mama', 'pakai', 'kulit', 'mulus', 'kerut', 'kurang', 'repurchase']",beli mama cocok banget mama usia mama pakai kulit mulus kerut kurang repurchase,"{'classified_text': 'beli mama cocok [4] banget mama usia mama pakai kulit mulus kerut kurang [-2] repurchase', 'tweet_text': ' beli mama cocok banget mama usia mama pakai kulit mulus kerut kurang repurchase', 'sentence_score': ['beli mama cocok [4] banget mama usia mama pakai kulit mulus kerut kurang [-2] repurchase'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",beli mama cocok [4] banget mama usia mama pakai kulit mulus kerut kurang [-2] repurchase, beli mama cocok banget mama usia mama pakai kulit mulus kerut kurang repurchase,['beli mama cocok [4] banget mama usia mama pakai kulit mulus kerut kurang [-2] repurchase'],4,-2,positif
"dapet exp 2026 alhamdulillah, smoga cocok baru mau cobain pake retinol😍 pake yg refining sukak banget soalnya",dapet exp alhamdulillah smoga cocok baru mau cobain pake retinol pake yg refining sukak banget soalnya,dapat exp alhamdulillah semoga cocok baru mau mencoba pakai retinol pakai yang refining suka banget soalnya,"['dapat', 'exp', 'alhamdulillah', 'semoga', 'cocok', 'baru', 'mau', 'mencoba', 'pakai', 'retinol', 'pakai', 'yang', 'refining', 'suka', 'banget', 'soalnya']","['exp', 'semoga', 'cocok', 'mencoba', 'pakai', 'retinol', 'pakai', 'refining', 'suka', 'banget']","['exp', 'moga', 'cocok', 'coba', 'pakai', 'retinol', 'pakai', 'refining', 'suka', 'banget']",exp moga cocok coba pakai retinol pakai refining suka banget,"{'classified_text': 'exp moga cocok [3] coba pakai retinol pakai refining suka [5] banget', 'tweet_text': ' exp moga cocok coba pakai retinol pakai refining suka banget', 'sentence_score': ['exp moga cocok [3] coba pakai retinol pakai refining suka [5] banget'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",exp moga cocok [3] coba pakai retinol pakai refining suka [5] banget, exp moga cocok coba pakai retinol pakai refining suka banget,['exp moga cocok [3] coba pakai retinol pakai refining suka [5] banget'],5,-1,positif
"lembut bagus untuk kulit normal/dry , sensitif. namun kurang cocok untuk kulit berminyak/berjerawat, harus pump banyak.",lembut bagus untuk kulit normal dry sensitif namun kurang cocok untuk kulit berminyak berjerawat harus pump banyak,lembut bagus untuk kulit normal dry sensitif namun kurang cocok untuk kulit berminyak berjerawat harus pump banyak,"['lembut', 'bagus', 'untuk', 'kulit', 'normal', 'dry', 'sensitif', 'namun', 'kurang', 'cocok', 'untuk', 'kulit', 'berminyak', 'berjerawat', 'harus', 'pump', 'banyak']","['lembut', 'bagus', 'kulit', 'normal', 'dry', 'sensitif', 'cocok', 'kulit', 'berminyak', 'berjerawat', 'pump']","['lembut', 'bagus', 'kulit', 'normal', 'dry', 'sensitif', 'cocok', 'kulit', 'minyak', 'jerawat', 'pump']",lembut bagus kulit normal dry sensitif cocok kulit minyak jerawat pump,"{'classified_text': 'lembut [4] bagus [5] kulit normal [-1] dry sensitif [-2] cocok [3] kulit minyak jerawat pump', 'tweet_text': ' lembut bagus kulit normal dry sensitif cocok kulit minyak jerawat pump', 'sentence_score': ['lembut [4] bagus [5] kulit normal [-1] dry sensitif [-2] cocok [3] kulit minyak jerawat pump'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",lembut [4] bagus [5] kulit normal [-1] dry sensitif [-2] cocok [3] kulit minyak jerawat pump, lembut bagus kulit normal dry sensitif cocok kulit minyak jerawat pump,['lembut [4] bagus [5] kulit normal [-1] dry sensitif [-2] cocok [3] kulit minyak jerawat pump'],5,-2,positif
"pengiriman oke, namun exp produk terlalu dekat. utk yg serum exp 03/25, yg toner mendingan 11/25",pengiriman oke namun exp produk terlalu dekat utk yg serum exp yg toner mendingan,pengiriman oke namun exp produk terlalu dekat untuk yang serum exp yang toner mendingan,"['pengiriman', 'oke', 'namun', 'exp', 'produk', 'terlalu', 'dekat', 'untuk', 'yang', 'serum', 'exp', 'yang', 'toner', 'mendingan']","['pengiriman', 'oke', 'exp', 'produk', 'serum', 'exp', 'toner', 'mendingan']","['kirim', 'oke', 'exp', 'produk', 'serum', 'exp', 'toner', 'mending']",kirim oke exp produk serum exp toner mending,"{'classified_text': 'kirim oke [3] exp produk serum exp toner mending', 'tweet_text': ' kirim oke exp produk serum exp toner mending', 'sentence_score': ['kirim oke [3] exp produk serum exp toner mending'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",kirim oke [3] exp produk serum exp toner mending, kirim oke exp produk serum exp toner mending,['kirim oke [3] exp produk serum exp toner mending'],3,-1,positif
"sangat bagus untuk cream mata, dapat mengurangi mata panda. mata terlihat segar, pokoknya mantap deh",sangat bagus untuk cream mata dapat mengurangi mata panda mata terlihat segar pokoknya mantap deh,sangat bagus untuk cream mata dapat mengurangi mata panda mata terlihat segar pokoknya mantap deh,"['sangat', 'bagus', 'untuk', 'cream', 'mata', 'dapat', 'mengurangi', 'mata', 'panda', 'mata', 'terlihat', 'segar', 'pokoknya', 'mantap', 'deh']","['bagus', 'cream', 'mengurangi', 'panda', 'segar', 'pokoknya', 'mantap']","['bagus', 'cream', 'kurang', 'panda', 'segar', 'pokok', 'mantap']",bagus cream kurang panda segar pokok mantap,"{'classified_text': 'bagus [4] cream kurang [-2] panda segar pokok mantap [4]', 'tweet_text': ' bagus cream kurang panda segar pokok mantap', 'sentence_score': ['bagus [4] cream kurang [-2] panda segar pokok mantap [4]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",bagus [4] cream kurang [-2] panda segar pokok mantap [4], bagus cream kurang panda segar pokok mantap,['bagus [4] cream kurang [-2] panda segar pokok mantap [4]'],4,-2,positif
toner keren dari avoskin,toner keren dari avoskin,toner keren dari avoskin,"['toner', 'keren', 'dari', 'avoskin']","['toner', 'keren', 'avoskin']","['toner', 'keren', 'avoskin']",toner keren avoskin,"{'classified_text': 'toner keren [4] avoskin', 'tweet_text': ' toner keren avoskin', 'sentence_score': ['toner keren [4] avoskin'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",toner keren [4] avoskin, toner keren avoskin,['toner keren [4] avoskin'],4,-1,positif
sunscreen terbaik untuk saat ini,sunscreen terbaik untuk saat ini,sunscreen terbaik untuk saat ini,"['sunscreen', 'terbaik', 'untuk', 'saat', 'ini']","['sunscreen', 'terbaik']","['sunscreen', 'baik']",sunscreen baik,"{'classified_text': 'sunscreen baik [4]', 'tweet_text': ' sunscreen baik', 'sentence_score': ['sunscreen baik [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",sunscreen baik [4], sunscreen baik,['sunscreen baik [4]'],4,-1,positif
produk avoskin memang tidak pernah mengecewakan,produk avoskin memang tidak pernah mengecewakan,produk avoskin memang tidak pernah mengecewakan,"['produk', 'avoskin', 'memang', 'tidak', 'pernah', 'mengecewakan']","['produk', 'avoskin', 'mengecewakan']","['produk', 'avoskin', 'kecewa']",produk avoskin kecewa,"{'classified_text': 'produk avoskin kecewa [-3]', 'tweet_text': ' produk avoskin kecewa', 'sentence_score': ['produk avoskin kecewa [-3]'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",produk avoskin kecewa [-3], produk avoskin kecewa,['produk avoskin kecewa [-3]'],1,-3,negatif
"packagingnya oke. lagi dicoba produknya, so far yg toner oke. mudah2an cocok sih sama toner & serum yang ini",packagingnya oke lagi dicoba produknya so far yg toner oke mudahan cocok sih sama toner serum yang ini,packagingnya oke lagi dicoba produknya so far yang toner oke mudahan cocok sih sama toner serum yang ini,"['packagingnya', 'oke', 'lagi', 'dicoba', 'produknya', 'so', 'far', 'yang', 'toner', 'oke', 'mudahan', 'cocok', 'sih', 'sama', 'toner', 'serum', 'yang', 'ini']","['packagingnya', 'oke', 'dicoba', 'produknya', 'far', 'toner', 'oke', 'mudahan', 'cocok', 'toner', 'serum']","['packagingnya', 'oke', 'coba', 'produk', 'far', 'toner', 'oke', 'mudah', 'cocok', 'toner', 'serum']",packagingnya oke coba produk far toner oke mudah cocok toner serum,"{'classified_text': 'packagingnya oke [3] coba produk far toner oke [3] mudah [4] cocok [4] toner serum', 'tweet_text': ' packagingnya oke coba produk far toner oke mudah cocok toner serum', 'sentence_score': ['packagingnya oke [3] coba produk far toner oke [3] mudah [4] cocok [4] toner serum'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",packagingnya oke [3] coba produk far toner oke [3] mudah [4] cocok [4] toner serum, packagingnya oke coba produk far toner oke mudah cocok toner serum,['packagingnya oke [3] coba produk far toner oke [3] mudah [4] cocok [4] toner serum'],4,-1,positif
bahannya ringan baru dicoba semoga cocok,bahannya ringan baru dicoba semoga cocok,bahannya ringan baru dicoba semoga cocok,"['bahannya', 'ringan', 'baru', 'dicoba', 'semoga', 'cocok']","['bahannya', 'ringan', 'dicoba', 'semoga', 'cocok']","['bahan', 'ringan', 'coba', 'moga', 'cocok']",bahan ringan coba moga cocok,"{'classified_text': 'bahan ringan coba moga cocok [3]', 'tweet_text': ' bahan ringan coba moga cocok', 'sentence_score': ['bahan ringan coba moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bahan ringan coba moga cocok [3], bahan ringan coba moga cocok,['bahan ringan coba moga cocok [3]'],3,-1,positif
"tipe kulitku berminyak & berjerawat. semoga cocok pakai rangkain avoskin ini. moisturizer udah pakai, hasilnya oke. tinggal serumnya yg belum. thank you seller & tokped",tipe kulitku berminyak berjerawat semoga cocok pakai rangkain avoskin ini moisturizer udah pakai hasilnya oke tinggal serumnya yg belum thank you seller tokped,tipe kulitku berminyak berjerawat semoga cocok pakai rangkain avoskin ini moisturizer sudah pakai hasilnya oke tinggal serumnya yang belum thank you seller tokped,"['tipe', 'kulitku', 'berminyak', 'berjerawat', 'semoga', 'cocok', 'pakai', 'rangkain', 'avoskin', 'ini', 'moisturizer', 'sudah', 'pakai', 'hasilnya', 'oke', 'tinggal', 'serumnya', 'yang', 'belum', 'thank', 'you', 'seller', 'tokped']","['tipe', 'kulitku', 'berminyak', 'berjerawat', 'semoga', 'cocok', 'pakai', 'rangkain', 'avoskin', 'moisturizer', 'pakai', 'hasilnya', 'oke', 'serumnya', 'thank', 'seller', 'tokped']","['tipe', 'kulit', 'minyak', 'jerawat', 'moga', 'cocok', 'pakai', 'rangkain', 'avoskin', 'moisturizer', 'pakai', 'hasil', 'oke', 'serum', 'thank', 'seller', 'tokped']",tipe kulit minyak jerawat moga cocok pakai rangkain avoskin moisturizer pakai hasil oke serum thank seller tokped,"{'classified_text': 'tipe kulit minyak jerawat moga cocok [3] pakai rangkain avoskin moisturizer pakai hasil oke [3] serum thank seller tokped', 'tweet_text': ' tipe kulit minyak jerawat moga cocok pakai rangkain avoskin moisturizer pakai hasil oke serum thank seller tokped', 'sentence_score': ['tipe kulit minyak jerawat moga cocok [3] pakai rangkain avoskin moisturizer pakai hasil oke [3] serum thank seller tokped'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",tipe kulit minyak jerawat moga cocok [3] pakai rangkain avoskin moisturizer pakai hasil oke [3] serum thank seller tokped, tipe kulit minyak jerawat moga cocok pakai rangkain avoskin moisturizer pakai hasil oke serum thank seller tokped,['tipe kulit minyak jerawat moga cocok [3] pakai rangkain avoskin moisturizer pakai hasil oke [3] serum thank seller tokped'],3,-1,positif
packaging super safe dan rapi..sampai dgn selamat di tanganku..,packaging super safe dan rapi sampai dgn selamat di tanganku,packaging super safe dan rapi sampai dengan selamat di tanganku,"['packaging', 'super', 'safe', 'dan', 'rapi', 'sampai', 'dengan', 'selamat', 'di', 'tanganku']","['packaging', 'super', 'safe', 'rapi', 'selamat', 'tanganku']","['packaging', 'super', 'safe', 'rapi', 'selamat', 'tangan']",packaging super safe rapi selamat tangan,"{'classified_text': 'packaging super [4] safe rapi [4] selamat [5] tangan', 'tweet_text': ' packaging super safe rapi selamat tangan', 'sentence_score': ['packaging super [4] safe rapi [4] selamat [5] tangan'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",packaging super [4] safe rapi [4] selamat [5] tangan, packaging super safe rapi selamat tangan,['packaging super [4] safe rapi [4] selamat [5] tangan'],5,-1,positif
packaging nya rapi dan super safe..masih segel juga produknya..aman smpe ditangan saya..,packaging nya rapi dan super safe masih segel juga produknya aman smpe ditangan saya,packaging nya rapi dan super safe masih segel juga produknya aman sampai ditangan saya,"['packaging', 'nya', 'rapi', 'dan', 'super', 'safe', 'masih', 'segel', 'juga', 'produknya', 'aman', 'sampai', 'ditangan', 'saya']","['packaging', 'rapi', 'super', 'safe', 'segel', 'produknya', 'aman', 'ditangan']","['packaging', 'rapi', 'super', 'safe', 'segel', 'produk', 'aman', 'tang']",packaging rapi super safe segel produk aman tang,"{'classified_text': 'packaging rapi [4] super [5] safe segel produk aman [4] tang', 'tweet_text': ' packaging rapi super safe segel produk aman tang', 'sentence_score': ['packaging rapi [4] super [5] safe segel produk aman [4] tang'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",packaging rapi [4] super [5] safe segel produk aman [4] tang, packaging rapi super safe segel produk aman tang,['packaging rapi [4] super [5] safe segel produk aman [4] tang'],5,-1,positif
"pengiriman cepat, pengemasan aman, barang sesuai, expired aman",pengiriman cepat pengemasan aman barang sesuai expired aman,pengiriman cepat pengemasan aman barang sesuai expired aman,"['pengiriman', 'cepat', 'pengemasan', 'aman', 'barang', 'sesuai', 'expired', 'aman']","['pengiriman', 'cepat', 'pengemasan', 'aman', 'expired', 'aman']","['kirim', 'cepat', 'emas', 'aman', 'expired', 'aman']",kirim cepat emas aman expired aman,"{'classified_text': 'kirim cepat [4] emas [5] aman [5] expired aman [4]', 'tweet_text': ' kirim cepat emas aman expired aman', 'sentence_score': ['kirim cepat [4] emas [5] aman [5] expired aman [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",kirim cepat [4] emas [5] aman [5] expired aman [4], kirim cepat emas aman expired aman,['kirim cepat [4] emas [5] aman [5] expired aman [4]'],5,-1,positif
tipe kulitku berminyak masalah kulitku pori besar masalah kulitku kerutan tipe kulitku sensitif,tipe kulitku berminyak masalah kulitku pori besar masalah kulitku kerutan tipe kulitku sensitif,tipe kulitku berminyak masalah kulitku pori besar masalah kulitku kerutan tipe kulitku sensitif,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'masalah', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'berminyak', 'kulitku', 'pori', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulit', 'minyak', 'kulit', 'pori', 'kulit', 'kerut', 'tipe', 'kulit', 'sensitif']",tipe kulit minyak kulit pori kulit kerut tipe kulit sensitif,"{'classified_text': 'tipe kulit minyak kulit pori kulit kerut [-2] tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit minyak kulit pori kulit kerut tipe kulit sensitif', 'sentence_score': ['tipe kulit minyak kulit pori kulit kerut [-2] tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit minyak kulit pori kulit kerut [-2] tipe kulit sensitif [-2], tipe kulit minyak kulit pori kulit kerut tipe kulit sensitif,['tipe kulit minyak kulit pori kulit kerut [-2] tipe kulit sensitif [-2]'],1,-2,negatif
"gel, mudah menyerap. travel size pas, tapi katup plastiknya kadang suka ga rapat jadi mudah tumpah.",gel mudah menyerap travel size pas tapi katup plastiknya kadang suka ga rapat jadi mudah tumpah,gel mudah menyerap travel size pas tapi katup plastiknya kadang suka enggak rapat jadi mudah tumpah,"['gel', 'mudah', 'menyerap', 'travel', 'size', 'pas', 'tapi', 'katup', 'plastiknya', 'kadang', 'suka', 'enggak', 'rapat', 'jadi', 'mudah', 'tumpah']","['gel', 'mudah', 'menyerap', 'travel', 'size', 'katup', 'plastiknya', 'kadang', 'suka', 'rapat', 'mudah', 'tumpah']","['gel', 'mudah', 'serap', 'travel', 'size', 'katup', 'plastik', 'kadang', 'suka', 'rapat', 'mudah', 'tumpah']",gel mudah serap travel size katup plastik kadang suka rapat mudah tumpah,"{'classified_text': 'gel mudah [3] serap travel size katup plastik kadang suka [4] rapat mudah [3] tumpah', 'tweet_text': ' gel mudah serap travel size katup plastik kadang suka rapat mudah tumpah', 'sentence_score': ['gel mudah [3] serap travel size katup plastik kadang suka [4] rapat mudah [3] tumpah'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",gel mudah [3] serap travel size katup plastik kadang suka [4] rapat mudah [3] tumpah, gel mudah serap travel size katup plastik kadang suka rapat mudah tumpah,['gel mudah [3] serap travel size katup plastik kadang suka [4] rapat mudah [3] tumpah'],4,-1,positif
tipe kulitku kering tipe kulitku sensitif,tipe kulitku kering tipe kulitku sensitif,tipe kulitku kering tipe kulitku sensitif,"['tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulit', 'kering', 'tipe', 'kulit', 'sensitif']",tipe kulit kering tipe kulit sensitif,"{'classified_text': 'tipe kulit kering tipe kulit sensitif [-2]', 'tweet_text': ' tipe kulit kering tipe kulit sensitif', 'sentence_score': ['tipe kulit kering tipe kulit sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}",tipe kulit kering tipe kulit sensitif [-2], tipe kulit kering tipe kulit sensitif,['tipe kulit kering tipe kulit sensitif [-2]'],1,-2,negatif
udah lama. pake serum vit c avoskin. emg sebagus itu. rajin pake tiap pagi bekas jerawat hempas,udah lama pake serum vit avoskin emg sebagus itu rajin pake tiap pagi bekas jerawat hempas,sudah lama pakai serum vit avoskin memang sebagus itu rajin pakai tiap pagi bekas jerawat hempas,"['sudah', 'lama', 'pakai', 'serum', 'vit', 'avoskin', 'memang', 'sebagus', 'itu', 'rajin', 'pakai', 'tiap', 'pagi', 'bekas', 'jerawat', 'hempas']","['pakai', 'serum', 'vit', 'avoskin', 'sebagus', 'rajin', 'pakai', 'bekas', 'jerawat', 'hempas']","['pakai', 'serum', 'vit', 'avoskin', 'bagus', 'rajin', 'pakai', 'bekas', 'jerawat', 'hempas']",pakai serum vit avoskin bagus rajin pakai bekas jerawat hempas,"{'classified_text': 'pakai serum vit avoskin bagus [4] rajin pakai bekas [-4] jerawat hempas', 'tweet_text': ' pakai serum vit avoskin bagus rajin pakai bekas jerawat hempas', 'sentence_score': ['pakai serum vit avoskin bagus [4] rajin pakai bekas [-4] jerawat hempas'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",pakai serum vit avoskin bagus [4] rajin pakai bekas [-4] jerawat hempas, pakai serum vit avoskin bagus rajin pakai bekas jerawat hempas,['pakai serum vit avoskin bagus [4] rajin pakai bekas [-4] jerawat hempas'],4,-4,netral
"enak bgt ini dipakenya. aku oily to dry, pemula dalam hal exfo tp cocok bgt sama ini 👍🏻",enak bgt ini dipakenya aku oily to dry pemula dalam hal exfo tp cocok bgt sama ini,enak banget ini dipakai aku oily tapi dry pemula dalam hal exfo tapi cocok banget sama ini,"['enak', 'banget', 'ini', 'dipakai', 'aku', 'oily', 'tapi', 'dry', 'pemula', 'dalam', 'hal', 'exfo', 'tapi', 'cocok', 'banget', 'sama', 'ini']","['banget', 'dipakai', 'oily', 'dry', 'pemula', 'exfo', 'cocok', 'banget']","['banget', 'pakai', 'oily', 'dry', 'mula', 'exfo', 'cocok', 'banget']",banget pakai oily dry mula exfo cocok banget,"{'classified_text': 'banget pakai oily dry mula exfo cocok [4] banget', 'tweet_text': ' banget pakai oily dry mula exfo cocok banget', 'sentence_score': ['banget pakai oily dry mula exfo cocok [4] banget'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",banget pakai oily dry mula exfo cocok [4] banget, banget pakai oily dry mula exfo cocok banget,['banget pakai oily dry mula exfo cocok [4] banget'],4,-1,positif
"paket udah sampai pesan hari jum'at,hari senin siang udah sampai.
dapet diskon 30rb+cashback 20rb gopay coin dan free ongkir hehe
btw serum ini cocok banget buat treatment dermapen ya karena bekas jerawat bisa memudar🙏😁",paket udah sampai pesan hari jum at hari senin siang udah sampai dapet diskon rb cashback rb gopay coin dan free ongkir btw serum ini cocok banget buat treatment dermapen ya karena bekas jerawat bisa memudar,paket sudah sampai pesan hari jum at hari senin siang sudah sampai dapat diskon ribu cashback ribu gopay coin dan free ongkir btw serum ini cocok banget buat treatment dermapen ya karena bekas jerawat bisa memudar,"['paket', 'sudah', 'sampai', 'pesan', 'hari', 'jum', 'at', 'hari', 'senin', 'siang', 'sudah', 'sampai', 'dapat', 'diskon', 'ribu', 'cashback', 'ribu', 'gopay', 'coin', 'dan', 'free', 'ongkir', 'btw', 'serum', 'ini', 'cocok', 'banget', 'buat', 'treatment', 'dermapen', 'ya', 'karena', 'bekas', 'jerawat', 'bisa', 'memudar']","['paket', 'pesan', 'jum', 'siang', 'diskon', 'cashback', 'gopay', 'coin', 'ongkir', 'serum', 'cocok', 'banget', 'treatment', 'dermapen', 'bekas', 'jerawat', 'memudar']","['paket', 'pesan', 'jum', 'siang', 'diskon', 'cashback', 'gopay', 'coin', 'ongkir', 'serum', 'cocok', 'banget', 'treatment', 'dermapen', 'bekas', 'jerawat', 'pudar']",paket pesan jum siang diskon cashback gopay coin ongkir serum cocok banget treatment dermapen bekas jerawat pudar,"{'classified_text': 'paket pesan jum siang diskon cashback gopay coin ongkir serum cocok [4] banget treatment dermapen bekas [-4] jerawat pudar', 'tweet_text': ' paket pesan jum siang diskon cashback gopay coin ongkir serum cocok banget treatment dermapen bekas jerawat pudar', 'sentence_score': ['paket pesan jum siang diskon cashback gopay coin ongkir serum cocok [4] banget treatment dermapen bekas [-4] jerawat pudar'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",paket pesan jum siang diskon cashback gopay coin ongkir serum cocok [4] banget treatment dermapen bekas [-4] jerawat pudar, paket pesan jum siang diskon cashback gopay coin ongkir serum cocok banget treatment dermapen bekas jerawat pudar,['paket pesan jum siang diskon cashback gopay coin ongkir serum cocok [4] banget treatment dermapen bekas [-4] jerawat pudar'],4,-4,netral
"paket d packing rapi, sdh sering pakai produk ini. cocok  utk sy, puffiness bawah mata berkurang. tks",paket packing rapi sdh sering pakai produk ini cocok utk sy puffiness bawah mata berkurang tks,paket packing rapi sudah sering pakai produk ini cocok untuk saya puffiness bawah mata berkurang thanks,"['paket', 'packing', 'rapi', 'sudah', 'sering', 'pakai', 'produk', 'ini', 'cocok', 'untuk', 'saya', 'puffiness', 'bawah', 'mata', 'berkurang', 'thanks']","['paket', 'packing', 'rapi', 'pakai', 'produk', 'cocok', 'puffiness', 'berkurang', 'thanks']","['paket', 'packing', 'rapi', 'pakai', 'produk', 'cocok', 'puffiness', 'kurang', 'thanks']",paket packing rapi pakai produk cocok puffiness kurang thanks,"{'classified_text': 'paket packing rapi [4] pakai produk cocok [3] puffiness kurang [-2] thanks', 'tweet_text': ' paket packing rapi pakai produk cocok puffiness kurang thanks', 'sentence_score': ['paket packing rapi [4] pakai produk cocok [3] puffiness kurang [-2] thanks'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",paket packing rapi [4] pakai produk cocok [3] puffiness kurang [-2] thanks, paket packing rapi pakai produk cocok puffiness kurang thanks,['paket packing rapi [4] pakai produk cocok [3] puffiness kurang [-2] thanks'],4,-2,positif
"biasanya beli serumnya dan ampuh untuk eksfoliasi, sekarang mau coba tonernya",biasanya beli serumnya dan ampuh untuk eksfoliasi sekarang mau coba tonernya,biasanya beli serumnya dan ampuh untuk eksfoliasi sekarang mau coba tonernya,"['biasanya', 'beli', 'serumnya', 'dan', 'ampuh', 'untuk', 'eksfoliasi', 'sekarang', 'mau', 'coba', 'tonernya']","['beli', 'serumnya', 'ampuh', 'eksfoliasi', 'coba', 'tonernya']","['beli', 'serum', 'ampuh', 'eksfoliasi', 'coba', 'tonernya']",beli serum ampuh eksfoliasi coba tonernya,"{'classified_text': 'beli serum ampuh eksfoliasi coba tonernya', 'tweet_text': ' beli serum ampuh eksfoliasi coba tonernya', 'sentence_score': ['beli serum ampuh eksfoliasi coba tonernya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",beli serum ampuh eksfoliasi coba tonernya, beli serum ampuh eksfoliasi coba tonernya,['beli serum ampuh eksfoliasi coba tonernya'],1,-1,netral
"baru mau coba mudah²an cocok, packing suka ngt.",baru mau coba mudah an cocok packing suka ngt,baru mau coba mudah an cocok packing suka ngt,"['baru', 'mau', 'coba', 'mudah', 'an', 'cocok', 'packing', 'suka', 'ngt']","['coba', 'mudah', 'cocok', 'packing', 'suka', 'ngt']","['coba', 'mudah', 'cocok', 'packing', 'suka', 'ngt']",coba mudah cocok packing suka ngt,"{'classified_text': 'coba mudah [3] cocok [4] packing suka [4] ngt', 'tweet_text': ' coba mudah cocok packing suka ngt', 'sentence_score': ['coba mudah [3] cocok [4] packing suka [4] ngt'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",coba mudah [3] cocok [4] packing suka [4] ngt, coba mudah cocok packing suka ngt,['coba mudah [3] cocok [4] packing suka [4] ngt'],4,-1,positif
