case_folding,cleaned,normalization,tokenize,remove_stopwords,lemmatization,text_string_lemma,sentimen
bismillah semoga cocok,bismillah semoga cocok,bismillah semoga cocok,"['bismillah', 'semoga', 'cocok']","['bismillah', 'semoga', 'cocok']","['bismillah', 'moga', 'cocok']",bismillah moga cocok,positif
dapet harga murce pakai voc beli lokal👍 baru nyobain semoga cocok.,dapet harga murce pakai voc beli lokal baru nyobain semoga cocok,dapat harga murce pakai voc beli lokal baru mencoba semoga cocok,"['dapat', 'harga', 'murce', 'pakai', 'voc', 'beli', 'lokal', 'baru', 'mencoba', 'semoga', 'cocok']","['harga', 'murce', 'pakai', 'voc', 'beli', 'lokal', 'baru', 'mencoba', 'semoga', 'cocok']","['harga', 'murce', 'pakai', 'voc', 'beli', 'lokal', 'baru', 'coba', 'moga', 'cocok']",harga murce pakai voc beli lokal baru coba moga cocok,positif
dulu pernah pakai dan emang mantul bgt serum alpha yg ini. malem pakai paginya glowing.,dulu pernah pakai dan emang mantul bgt serum alpha yg ini malem pakai paginya glowing,dulu pernah pakai dan memang mantul banget serum alpha yang ini malam pakai paginya glowing,"['dulu', 'pernah', 'pakai', 'dan', 'memang', 'mantul', 'banget', 'serum', 'alpha', 'yang', 'ini', 'malam', 'pakai', 'paginya', 'glowing']","['dulu', 'pernah', 'pakai', 'memang', 'mantul', 'banget', 'serum', 'alpha', 'malam', 'pakai', 'paginya', 'glowing']","['dulu', 'pernah', 'pakai', 'memang', 'mantul', 'banget', 'serum', 'alpha', 'malam', 'pakai', 'pagi', 'glowing']",dulu pernah pakai memang mantul banget serum alpha malam pakai pagi glowing,netral
clearance sale tp dapet produknya yg exp tahun depan mantapppp,clearance sale tp dapet produknya yg exp tahun depan mantapppp,clearance sale tapi dapat produknya yang exp tahun depan mantap,"['clearance', 'sale', 'tapi', 'dapat', 'produknya', 'yang', 'exp', 'tahun', 'depan', 'mantap']","['clearance', 'sale', 'produknya', 'exp', 'tahun', 'depan', 'mantap']","['clearance', 'sale', 'produk', 'exp', 'tahun', 'depan', 'mantap']",clearance sale produk exp tahun depan mantap,positif
"baru pakai semingguan, lumayan ngaruh di tipe kulit wajahku yg berminyak",baru pakai semingguan lumayan ngaruh di tipe kulit wajahku yg berminyak,baru pakai semingguan lumayan ngaruh di tipe kulit wajahku yang berminyak,"['baru', 'pakai', 'semingguan', 'lumayan', 'ngaruh', 'di', 'tipe', 'kulit', 'wajahku', 'yang', 'berminyak']","['baru', 'pakai', 'semingguan', 'lumayan', 'ngaruh', 'tipe', 'kulit', 'wajahku', 'berminyak']","['baru', 'pakai', 'minggu', 'lumayan', 'ngaruh', 'tipe', 'kulit', 'wajah', 'minyak']",baru pakai minggu lumayan ngaruh tipe kulit wajah minyak,positif
udah 3 tahun pake produk ini,udah tahun pake produk ini,sudah tahun pakai produk ini,"['sudah', 'tahun', 'pakai', 'produk', 'ini']","['tahun', 'pakai', 'produk']","['tahun', 'pakai', 'produk']",tahun pakai produk,positif
"agak pliket di kulit saya, tapi tdk menimbulkan jerawat. tipe kulitku kombinasi",agak pliket di kulit saya tapi tdk menimbulkan jerawat tipe kulitku kombinasi,agak pliket di kulit saya tapi tidak menimbulkan jerawat tipe kulitku kombinasi,"['agak', 'pliket', 'di', 'kulit', 'saya', 'tapi', 'tidak', 'menimbulkan', 'jerawat', 'tipe', 'kulitku', 'kombinasi']","['pliket', 'kulit', 'tidak', 'menimbulkan', 'jerawat', 'tipe', 'kulitku', 'kombinasi']","['pliket', 'kulit', 'tidak', 'timbul', 'jerawat', 'tipe', 'kulit', 'kombinasi']",pliket kulit tidak timbul jerawat tipe kulit kombinasi,negatif
👍👍👍the best !!!... tq yaa 😉,the best tq yaa,the best terima kasih ya,"['the', 'best', 'terima', 'kasih', 'ya']","['the', 'best', 'terima', 'kasih']","['the', 'best', 'terima', 'kasih']",the best terima kasih,positif
andalan ketika lagi brutusan 😬,andalan ketika lagi brutusan,andalan ketika lagi beruntusan,"['andalan', 'ketika', 'lagi', 'beruntusan']","['andalan', 'beruntusan']","['andal', 'beruntus']",andal beruntus,netral
produknya original sangat memuaskan,produknya original sangat memuaskan,produknya original sangat memuaskan,"['produknya', 'original', 'sangat', 'memuaskan']","['produknya', 'original', 'sangat', 'memuaskan']","['produk', 'original', 'sangat', 'muas']",produk original sangat muas,netral
"agak sedikit kecewa karena pesanan tidak sesuai dengan apa yang ada di deskripsi dan display foto. sewaktu pesanan saya memesan paket skincare loveable-exfoliating kit for oily yang berisi dua macam skincare yaitu: salycylic acid (serum), dan moisturizer. yang dateng malah lactic acid tidak sesuai dengan apa yang dipesan tetapi untuk moisturizernya tepat. begitu juga saya salah lupa tidak me-record vidio unboxing jadi tidak bisa mengajukan complain. semoga tim avoskin lebih teliti lagi.",agak sedikit kecewa karena pesanan tidak sesuai dengan apa yang ada di deskripsi dan display foto sewaktu pesanan saya memesan paket skincare loveable exfoliating kit for oily yang berisi dua macam skincare yaitu salycylic acid serum dan moisturizer yang dateng malah lactic acid tidak sesuai dengan apa yang dipesan tetapi untuk moisturizernya tepat begitu juga saya salah lupa tidak me record vidio unboxing jadi tidak bisa mengajukan complain semoga tim avoskin lebih teliti lagi,agak sedikit kecewa karena pesanan tidak sesuai dengan apa yang ada di deskripsi dan display foto sewaktu pesanan saya memesan paket skincare loveable exfoliating kit for oily yang berisi dua macam skincare yaitu salycylic acid serum dan moisturizer yang datang malah lactic acid tidak sesuai dengan apa yang dipesan tetapi untuk moisturizernya tepat begitu juga saya salah lupa tidak me record vidio unboxing jadi tidak bisa mengajukan complain semoga tim avoskin lebih teliti lagi,"['agak', 'sedikit', 'kecewa', 'karena', 'pesanan', 'tidak', 'sesuai', 'dengan', 'apa', 'yang', 'ada', 'di', 'deskripsi', 'dan', 'display', 'foto', 'sewaktu', 'pesanan', 'saya', 'memesan', 'paket', 'skincare', 'loveable', 'exfoliating', 'kit', 'for', 'oily', 'yang', 'berisi', 'dua', 'macam', 'skincare', 'yaitu', 'salycylic', 'acid', 'serum', 'dan', 'moisturizer', 'yang', 'datang', 'malah', 'lactic', 'acid', 'tidak', 'sesuai', 'dengan', 'apa', 'yang', 'dipesan', 'tetapi', 'untuk', 'moisturizernya', 'tepat', 'begitu', 'juga', 'saya', 'salah', 'lupa', 'tidak', 'me', 'record', 'vidio', 'unboxing', 'jadi', 'tidak', 'bisa', 'mengajukan', 'complain', 'semoga', 'tim', 'avoskin', 'lebih', 'teliti', 'lagi']","['sedikit', 'kecewa', 'pesanan', 'tidak', 'sesuai', 'apa', 'deskripsi', 'display', 'foto', 'sewaktu', 'pesanan', 'memesan', 'paket', 'skincare', 'loveable', 'exfoliating', 'kit', 'for', 'oily', 'berisi', 'macam', 'skincare', 'salycylic', 'acid', 'serum', 'moisturizer', 'datang', 'malah', 'lactic', 'acid', 'tidak', 'sesuai', 'apa', 'dipesan', 'moisturizernya', 'tepat', 'salah', 'lupa', 'tidak', 'me', 'record', 'vidio', 'unboxing', 'jadi', 'tidak', 'mengajukan', 'complain', 'semoga', 'tim', 'avoskin', 'lebih', 'teliti']","['sedikit', 'kecewa', 'pesan', 'tidak', 'sesuai', 'apa', 'deskripsi', 'display', 'foto', 'waktu', 'pesan', 'mes', 'paket', 'skincare', 'loveable', 'exfoliating', 'kit', 'for', 'oily', 'isi', 'macam', 'skincare', 'salycylic', 'acid', 'serum', 'moisturizer', 'datang', 'malah', 'lactic', 'acid', 'tidak', 'sesuai', 'apa', 'pes', 'moisturizernya', 'tepat', 'salah', 'lupa', 'tidak', 'me', 'record', 'vidio', 'unboxing', 'jadi', 'tidak', 'aju', 'complain', 'moga', 'tim', 'avoskin', 'lebih', 'teliti']",sedikit kecewa pesan tidak sesuai apa deskripsi display foto waktu pesan mes paket skincare loveable exfoliating kit for oily isi macam skincare salycylic acid serum moisturizer datang malah lactic acid tidak sesuai apa pes moisturizernya tepat salah lupa tidak me record vidio unboxing jadi tidak aju complain moga tim avoskin lebih teliti,negatif
dipake agak cekit cekit yaa tapi besok paginya langsung glowing oiya aku pakenya ga tiap hari tapi 3 hari sekali aja karna kulit aku sensitif,dipake agak cekit cekit yaa tapi besok paginya langsung glowing oiya aku pakenya ga tiap hari tapi hari sekali aja karna kulit aku sensitif,dipakai agak cekit cekit ya tapi besok paginya langsung glowing oiya aku pakenya enggak tiap hari tapi hari sekali saja karena kulit aku sensitif,"['dipakai', 'agak', 'cekit', 'cekit', 'ya', 'tapi', 'besok', 'paginya', 'langsung', 'glowing', 'oiya', 'aku', 'pakenya', 'enggak', 'tiap', 'hari', 'tapi', 'hari', 'sekali', 'saja', 'karena', 'kulit', 'aku', 'sensitif']","['dipakai', 'cekit', 'cekit', 'besok', 'paginya', 'langsung', 'glowing', 'oiya', 'aku', 'pakenya', 'enggak', 'tiap', 'hari', 'hari', 'sekali', 'kulit', 'aku', 'sensitif']","['pakai', 'cekit', 'cekit', 'besok', 'pagi', 'langsung', 'glowing', 'oiya', 'aku', 'pakenya', 'enggak', 'tiap', 'hari', 'hari', 'sekali', 'kulit', 'aku', 'sensitif']",pakai cekit cekit besok pagi langsung glowing oiya aku pakenya enggak tiap hari hari sekali kulit aku sensitif,negatif
mantab,mantab,mantap,['mantap'],['mantap'],['mantap'],mantap,positif
beli lagi lagi,beli lagi lagi,beli lagi lagi,"['beli', 'lagi', 'lagi']",['beli'],['beli'],beli,netral
"sudah botol keberapa, cocok",sudah botol keberapa cocok,sudah botol keberapa cocok,"['sudah', 'botol', 'keberapa', 'cocok']","['botol', 'keberapa', 'cocok']","['botol', 'berapa', 'cocok']",botol berapa cocok,positif
tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulit', 'minyak', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'pori', 'besar']",tipe kulit minyak masalah kulit jerawat masalah kulit pori besar,negatif
baguss,baguss,bagus,['bagus'],['bagus'],['bagus'],bagus,positif
packingan rapi dan bagus sekali,packingan rapi dan bagus sekali,packingan rapi dan bagus sekali,"['packingan', 'rapi', 'dan', 'bagus', 'sekali']","['packingan', 'rapi', 'bagus', 'sekali']","['packingan', 'rapi', 'bagus', 'sekali']",packingan rapi bagus sekali,positif
"dpt eks 2/25, packinganny aman banget pke kerdus sama paperwrap, alhamdulillah cocok dimuka ak yg berjerawat, pengemasanny cepat and pengirimanny jg super cepet",dpt eks packinganny aman banget pke kerdus sama paperwrap alhamdulillah cocok dimuka ak yg berjerawat pengemasanny cepat and pengirimanny jg super cepet,dapat eks packinganny aman banget pakai kerdus sama paperwrap alhamdulillah cocok dimuka aku yang berjerawat pengemasan cepat and pengiriman juga super cepat,"['dapat', 'eks', 'packinganny', 'aman', 'banget', 'pakai', 'kerdus', 'sama', 'paperwrap', 'alhamdulillah', 'cocok', 'dimuka', 'aku', 'yang', 'berjerawat', 'pengemasan', 'cepat', 'and', 'pengiriman', 'juga', 'super', 'cepat']","['eks', 'packinganny', 'aman', 'banget', 'pakai', 'kerdus', 'sama', 'paperwrap', 'alhamdulillah', 'cocok', 'dimuka', 'aku', 'berjerawat', 'pengemasan', 'cepat', 'and', 'pengiriman', 'super', 'cepat']","['eks', 'packinganny', 'aman', 'banget', 'pakai', 'kerdus', 'sama', 'paperwrap', 'alhamdulillah', 'cocok', 'muka', 'aku', 'jerawat', 'emas', 'cepat', 'and', 'kirim', 'super', 'cepat']",eks packinganny aman banget pakai kerdus sama paperwrap alhamdulillah cocok muka aku jerawat emas cepat and kirim super cepat,positif
"bagus untuk masalah kulitku jerawat
pengiriman cepat dan aman
terima kasih seller",bagus untuk masalah kulitku jerawat pengiriman cepat dan aman terima kasih seller,bagus untuk masalah kulitku jerawat pengiriman cepat dan aman terima kasih seller,"['bagus', 'untuk', 'masalah', 'kulitku', 'jerawat', 'pengiriman', 'cepat', 'dan', 'aman', 'terima', 'kasih', 'seller']","['bagus', 'masalah', 'kulitku', 'jerawat', 'pengiriman', 'cepat', 'aman', 'terima', 'kasih', 'seller']","['bagus', 'masalah', 'kulit', 'jerawat', 'kirim', 'cepat', 'aman', 'terima', 'kasih', 'seller']",bagus masalah kulit jerawat kirim cepat aman terima kasih seller,positif
belum coba,belum coba,belum coba,"['belum', 'coba']","['belum', 'coba']","['belum', 'coba']",belum coba,positif
"spf teringan. cocok dikulit. kemasan mungil, traveling friendly.",spf teringan cocok dikulit kemasan mungil traveling friendly,spf teringan cocok dikulit kemasan mungil traveling friendly,"['spf', 'teringan', 'cocok', 'dikulit', 'kemasan', 'mungil', 'traveling', 'friendly']","['spf', 'teringan', 'cocok', 'dikulit', 'kemasan', 'mungil', 'traveling', 'friendly']","['spf', 'tering', 'cocok', 'kulit', 'kemas', 'mungil', 'traveling', 'friendly']",spf tering cocok kulit kemas mungil traveling friendly,positif
"produk sesuai, sudah dicoba, menghidrasi sepanjang hari.",produk sesuai sudah dicoba menghidrasi sepanjang hari,produk sesuai sudah dicoba menghidrasi sepanjang hari,"['produk', 'sesuai', 'sudah', 'dicoba', 'menghidrasi', 'sepanjang', 'hari']","['produk', 'sesuai', 'dicoba', 'menghidrasi', 'sepanjang', 'hari']","['produk', 'sesuai', 'coba', 'hidrasi', 'panjang', 'hari']",produk sesuai coba hidrasi panjang hari,positif
"tipe kulitku berminyak, semoga cocok",tipe kulitku berminyak semoga cocok,tipe kulitku berminyak semoga cocok,"['tipe', 'kulitku', 'berminyak', 'semoga', 'cocok']","['tipe', 'kulitku', 'berminyak', 'semoga', 'cocok']","['tipe', 'kulit', 'minyak', 'moga', 'cocok']",tipe kulit minyak moga cocok,positif
"selalu pake serum ini utk mencerahkan, tekstur bening kental, yapi pengirimannya super lamaaaaaa sampe seminggu😃",selalu pake serum ini utk mencerahkan tekstur bening kental yapi pengirimannya super lamaaaaaa sampe seminggu,selalu pakai serum ini untuk mencerahkan tekstur bening kental tapi pengirimannya super lama sampai seminggu,"['selalu', 'pakai', 'serum', 'ini', 'untuk', 'mencerahkan', 'tekstur', 'bening', 'kental', 'tapi', 'pengirimannya', 'super', 'lama', 'sampai', 'seminggu']","['selalu', 'pakai', 'serum', 'mencerahkan', 'tekstur', 'bening', 'kental', 'pengirimannya', 'super', 'lama', 'seminggu']","['selalu', 'pakai', 'serum', 'cerah', 'tekstur', 'bening', 'kental', 'kirim', 'super', 'lama', 'minggu']",selalu pakai serum cerah tekstur bening kental kirim super lama minggu,positif
"pembelian kesekian kalinya. kulit jadi kenyal, sehat dan tampak lebih muda.",pembelian kesekian kalinya kulit jadi kenyal sehat dan tampak lebih muda,pembelian kesekian kalinya kulit jadi kenyal sehat dan tampak lebih muda,"['pembelian', 'kesekian', 'kalinya', 'kulit', 'jadi', 'kenyal', 'sehat', 'dan', 'tampak', 'lebih', 'muda']","['pembelian', 'kesekian', 'kalinya', 'kulit', 'jadi', 'kenyal', 'sehat', 'tampak', 'lebih', 'muda']","['beli', 'sekian', 'kali', 'kulit', 'jadi', 'kenyal', 'sehat', 'tampak', 'lebih', 'muda']",beli sekian kali kulit jadi kenyal sehat tampak lebih muda,positif
tipe kulitku kombinasi masalah kulitku kerutan,tipe kulitku kombinasi masalah kulitku kerutan,tipe kulitku kombinasi masalah kulitku kerutan,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan']","['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan']","['tipe', 'kulit', 'kombinasi', 'masalah', 'kulit', 'kerut']",tipe kulit kombinasi masalah kulit kerut,negatif
"phte avoskin memang sebagus itu, kelembaban pas di kulit saya yang oily acne prone, sudah habis beberapa botol phte",phte avoskin memang sebagus itu kelembaban pas di kulit saya yang oily acne prone sudah habis beberapa botol phte,phte avoskin memang sebagus itu kelembaban pas di kulit saya yang oily acne prone sudah habis beberapa botol phte,"['phte', 'avoskin', 'memang', 'sebagus', 'itu', 'kelembaban', 'pas', 'di', 'kulit', 'saya', 'yang', 'oily', 'acne', 'prone', 'sudah', 'habis', 'beberapa', 'botol', 'phte']","['phte', 'avoskin', 'memang', 'sebagus', 'kelembaban', 'pas', 'kulit', 'oily', 'acne', 'prone', 'habis', 'beberapa', 'botol', 'phte']","['phte', 'avoskin', 'memang', 'bagus', 'kelembaban', 'pas', 'kulit', 'oily', 'acne', 'prone', 'habis', 'beberapa', 'botol', 'phte']",phte avoskin memang bagus kelembaban pas kulit oily acne prone habis beberapa botol phte,positif
exp 2026 mantap,exp mantap,exp mantap,"['exp', 'mantap']","['exp', 'mantap']","['exp', 'mantap']",exp mantap,positif
exp 2026,exp,exp,['exp'],['exp'],['exp'],exp,netral
tipe kulitku berminyak tipe kulitku sensitif masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku kombinasi,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'kombinasi']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'kombinasi']","['tipe', 'kulit', 'minyak', 'tipe', 'kulit', 'sensitif', 'masalah', 'kulit', 'kerut', 'masalah', 'kulit', 'jerawat', 'masalah', 'kulit', 'pori', 'besar', 'tipe', 'kulit', 'kombinasi']",tipe kulit minyak tipe kulit sensitif masalah kulit kerut masalah kulit jerawat masalah kulit pori besar tipe kulit kombinasi,negatif
exp panjang 11/25,exp panjang,exp panjang,"['exp', 'panjang']","['exp', 'panjang']","['exp', 'panjang']",exp panjang,netral
masalah kulitku kerutan masalah kulitku jerawat tipe kulitku kering,masalah kulitku kerutan masalah kulitku jerawat tipe kulitku kering,masalah kulitku kerutan masalah kulitku jerawat tipe kulitku kering,"['masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'kering']","['masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'kering']","['masalah', 'kulit', 'kerut', 'masalah', 'kulit', 'jerawat', 'tipe', 'kulit', 'kering']",masalah kulit kerut masalah kulit jerawat tipe kulit kering,negatif
"udah langganan di official store, lebih terjamin keaslian produk ini, thanks🫶🏻",udah langganan di official store lebih terjamin keaslian produk ini thanks,sudah langganan di official store lebih terjamin keaslian produk ini thanks,"['sudah', 'langganan', 'di', 'official', 'store', 'lebih', 'terjamin', 'keaslian', 'produk', 'ini', 'thanks']","['langganan', 'official', 'store', 'lebih', 'terjamin', 'keaslian', 'produk', 'thanks']","['langgan', 'official', 'store', 'lebih', 'jamin', 'asli', 'produk', 'thanks']",langgan official store lebih jamin asli produk thanks,netral
ringan gampang diserap,ringan gampang diserap,ringan gampang diserap,"['ringan', 'gampang', 'diserap']","['ringan', 'gampang', 'diserap']","['ringan', 'gampang', 'serap']",ringan gampang serap,positif
"oke udah sampe min, belum dicoba yaaa",oke udah sampe min belum dicoba yaaa,oke sudah sampai min belum dicoba ya,"['oke', 'sudah', 'sampai', 'min', 'belum', 'dicoba', 'ya']","['oke', 'min', 'belum', 'dicoba']","['oke', 'min', 'belum', 'coba']",oke min belum coba,positif
oke udah sampe min... belum dicoba ya...,oke udah sampe min belum dicoba ya,oke sudah sampai min belum dicoba ya,"['oke', 'sudah', 'sampai', 'min', 'belum', 'dicoba', 'ya']","['oke', 'min', 'belum', 'dicoba']","['oke', 'min', 'belum', 'coba']",oke min belum coba,positif
serum dari avoskin pertamaku dan ini adalah repurchase kedua. cocok di kulitku yang kering dan cukup memberikan efek glowing. namun utk masalah pengiriman dari jogja ke jakarta cukup lama hampir seminggu,serum dari avoskin pertamaku dan ini adalah repurchase kedua cocok di kulitku yang kering dan cukup memberikan efek glowing namun utk masalah pengiriman dari jogja ke jakarta cukup lama hampir seminggu,serum dari avoskin pertamaku dan ini adalah repurchase kedua cocok di kulitku yang kering dan cukup memberikan efek glowing namun untuk masalah pengiriman dari jogja ke jakarta cukup lama hampir seminggu,"['serum', 'dari', 'avoskin', 'pertamaku', 'dan', 'ini', 'adalah', 'repurchase', 'kedua', 'cocok', 'di', 'kulitku', 'yang', 'kering', 'dan', 'cukup', 'memberikan', 'efek', 'glowing', 'namun', 'untuk', 'masalah', 'pengiriman', 'dari', 'jogja', 'ke', 'jakarta', 'cukup', 'lama', 'hampir', 'seminggu']","['serum', 'avoskin', 'pertamaku', 'repurchase', 'kedua', 'cocok', 'kulitku', 'kering', 'cukup', 'memberikan', 'efek', 'glowing', 'masalah', 'pengiriman', 'jogja', 'jakarta', 'cukup', 'lama', 'hampir', 'seminggu']","['serum', 'avoskin', 'pertama', 'repurchase', 'dua', 'cocok', 'kulit', 'kering', 'cukup', 'beri', 'efek', 'glowing', 'masalah', 'kirim', 'jogja', 'jakarta', 'cukup', 'lama', 'hampir', 'minggu']",serum avoskin pertama repurchase dua cocok kulit kering cukup beri efek glowing masalah kirim jogja jakarta cukup lama hampir minggu,positif
"sudah sampai dengan aman alhamdulillah, dapat diskon 30rb dari tokped yaampun terimakasih buanyak hihihi.. bakalan stay tune tokped kalau banyak diskon☺️❤️",sudah sampai dengan aman alhamdulillah dapat diskon rb dari tokped yaampun terimakasih buanyak bakalan stay tune tokped kalau banyak diskon,sudah sampai dengan aman alhamdulillah dapat diskon ribu dari tokped yaampun terima kasih banyak bakalan stay tune tokped kalau banyak diskon,"['sudah', 'sampai', 'dengan', 'aman', 'alhamdulillah', 'dapat', 'diskon', 'ribu', 'dari', 'tokped', 'yaampun', 'terima', 'kasih', 'banyak', 'bakalan', 'stay', 'tune', 'tokped', 'kalau', 'banyak', 'diskon']","['aman', 'alhamdulillah', 'diskon', 'ribu', 'tokped', 'yaampun', 'terima', 'kasih', 'banyak', 'bakalan', 'stay', 'tune', 'tokped', 'kalau', 'banyak', 'diskon']","['aman', 'alhamdulillah', 'diskon', 'ribu', 'tokped', 'yaampun', 'terima', 'kasih', 'banyak', 'bakal', 'stay', 'tune', 'tokped', 'kalau', 'banyak', 'diskon']",aman alhamdulillah diskon ribu tokped yaampun terima kasih banyak bakal stay tune tokped kalau banyak diskon,positif
packaging nya aman dan sangat echo friendly.,packaging nya aman dan sangat echo friendly,packaging nya aman dan sangat echo friendly,"['packaging', 'nya', 'aman', 'dan', 'sangat', 'echo', 'friendly']","['packaging', 'nya', 'aman', 'sangat', 'echo', 'friendly']","['packaging', 'nya', 'aman', 'sangat', 'echo', 'friendly']",packaging nya aman sangat echo friendly,positif
tipe kulitku normal tipe kulitku kombinasi,tipe kulitku normal tipe kulitku kombinasi,tipe kulitku normal tipe kulitku kombinasi,"['tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi']","['tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi']","['tipe', 'kulit', 'normal', 'tipe', 'kulit', 'kombinasi']",tipe kulit normal tipe kulit kombinasi,negatif
"ok, pengiriman cepat. pertama kali mencoba yang varian ini, semoga cocok👍",ok pengiriman cepat pertama kali mencoba yang varian ini semoga cocok,ok pengiriman cepat pertama kali mencoba yang varian ini semoga cocok,"['ok', 'pengiriman', 'cepat', 'pertama', 'kali', 'mencoba', 'yang', 'varian', 'ini', 'semoga', 'cocok']","['pengiriman', 'cepat', 'pertama', 'kali', 'mencoba', 'varian', 'semoga', 'cocok']","['kirim', 'cepat', 'pertama', 'kali', 'coba', 'varian', 'moga', 'cocok']",kirim cepat pertama kali coba varian moga cocok,positif
tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar,tipe kulitku berminyak masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulit', 'minyak', 'masalah', 'kulit', 'pori', 'besar']",tipe kulit minyak masalah kulit pori besar,negatif
tipe kulitku berminyak dan cocok memakai serum ini,tipe kulitku berminyak dan cocok memakai serum ini,tipe kulitku berminyak dan cocok memakai serum ini,"['tipe', 'kulitku', 'berminyak', 'dan', 'cocok', 'memakai', 'serum', 'ini']","['tipe', 'kulitku', 'berminyak', 'cocok', 'memakai', 'serum']","['tipe', 'kulit', 'minyak', 'cocok', 'pakai', 'serum']",tipe kulit minyak cocok pakai serum,positif
repurchase 4x karena cocok bgt. kalo dikombinasi sama ysb alpha arbutin bisa ngilangin bekas jerawat hitam.,repurchase karena cocok bgt kalo dikombinasi sama ysb alpha arbutin bisa ngilangin bekas jerawat hitam,repurchase karena cocok banget kalo dikombinasi sama ysb alpha arbutin bisa menghilangkan bekas jerawat hitam,"['repurchase', 'karena', 'cocok', 'banget', 'kalo', 'dikombinasi', 'sama', 'ysb', 'alpha', 'arbutin', 'bisa', 'menghilangkan', 'bekas', 'jerawat', 'hitam']","['repurchase', 'cocok', 'banget', 'kalo', 'dikombinasi', 'sama', 'ysb', 'alpha', 'arbutin', 'menghilangkan', 'bekas', 'jerawat', 'hitam']","['repurchase', 'cocok', 'banget', 'kalo', 'kombinasi', 'sama', 'ysb', 'alpha', 'arbutin', 'hilang', 'bekas', 'jerawat', 'hitam']",repurchase cocok banget kalo kombinasi sama ysb alpha arbutin hilang bekas jerawat hitam,negatif
"barangnya debuan bgtt,, smga mah dalemnya aman",barangnya debuan bgtt smga mah dalemnya aman,barangnya debuan banget semoga mah dalemnya aman,"['barangnya', 'debuan', 'banget', 'semoga', 'mah', 'dalemnya', 'aman']","['barangnya', 'debuan', 'banget', 'semoga', 'mah', 'dalemnya', 'aman']","['barang', 'debu', 'banget', 'moga', 'mah', 'dalem', 'aman']",barang debu banget moga mah dalem aman,positif
