case_folding,cleaned,normalization,tokenize,remove_stopwords,text_string_lemma,sentimen
"packaging aman. teksturnya ringan, cuma kurang suka sama pumpnya--susah dikeluarin krn ga ada selangnya. semoga cocok di tipe kulit oily acne prone ini.",packaging aman teksturnya ringan cuma kurang suka sama pumpnya susah dikeluarin krn ga ada selangnya semoga cocok di tipe kulit oily acne prone ini,packaging aman teksturnya ringan cuma kurang suka sama pumpnya susah dikeluarin karena enggak ada selangnya semoga cocok di tipe kulit oily acne prone ini,"['packaging', 'aman', 'teksturnya', 'ringan', 'cuma', 'kurang', 'suka', 'sama', 'pumpnya', 'susah', 'dikeluarin', 'karena', 'enggak', 'ada', 'selangnya', 'semoga', 'cocok', 'di', 'tipe', 'kulit', 'oily', 'acne', 'prone', 'ini']","['packaging', 'aman', 'teksturnya', 'ringan', 'cuma', 'kurang', 'suka', 'sama', 'pumpnya', 'susah', 'dikeluarin', 'enggak', 'selangnya', 'semoga', 'cocok', 'tipe', 'kulit', 'oily', 'acne', 'prone']",packaging aman teksturnya ringan cuma kurang suka sama pumpnya susah dikeluarin enggak selangnya semoga cocok tipe kulit oily acne prone,positif
agak sedikit encer gelnya dan ngga gatel atau perih pas dipake,agak sedikit encer gelnya dan ngga gatel atau perih pas dipake,agak sedikit encer gelnya dan enggak gatel atau perih pas dipakai,"['agak', 'sedikit', 'encer', 'gelnya', 'dan', 'enggak', 'gatel', 'atau', 'perih', 'pas', 'dipakai']","['sedikit', 'encer', 'gelnya', 'enggak', 'gatel', 'perih', 'pas', 'dipakai']",sedikit encer gelnya enggak gatel perih pas dipakai,positif
tipe kulitku berminyak masalah kulitku jerawat. moist langganan! semoga selalu ada dan ga discontinue ya tim skin game,tipe kulitku berminyak masalah kulitku jerawat moist langganan semoga selalu ada dan ga discontinue ya tim skin game,tipe kulitku berminyak masalah kulitku jerawat moist langganan semoga selalu ada dan enggak discontinue ya tim skin game,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'moist', 'langganan', 'semoga', 'selalu', 'ada', 'dan', 'enggak', 'discontinue', 'ya', 'tim', 'skin', 'game']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'moist', 'langganan', 'semoga', 'selalu', 'enggak', 'discontinue', 'tim', 'skin', 'game']",tipe kulitku berminyak masalah kulitku jerawat moist langganan semoga selalu enggak discontinue tim skin game,negatif
"good, fast delivered",good fast delivered,good fast delivered,"['good', 'fast', 'delivered']","['good', 'fast', 'delivered']",good fast delivered,netral
"penjual terpercaya. aku suka tekstur kind words ini, wanginya juga enak banget. aplikatornya lumayan nyaman digunakan. efektif buat mengatasi bibir kering.",penjual terpercaya aku suka tekstur kind words ini wanginya juga enak banget aplikatornya lumayan nyaman digunakan efektif buat mengatasi bibir kering,penjual terpercaya aku suka tekstur kind words ini wanginya juga enak banget aplikatornya lumayan nyaman digunakan efektif buat mengatasi bibir kering,"['penjual', 'terpercaya', 'aku', 'suka', 'tekstur', 'kind', 'words', 'ini', 'wanginya', 'juga', 'enak', 'banget', 'aplikatornya', 'lumayan', 'nyaman', 'digunakan', 'efektif', 'buat', 'mengatasi', 'bibir', 'kering']","['penjual', 'terpercaya', 'aku', 'suka', 'tekstur', 'kind', 'words', 'wanginya', 'enak', 'banget', 'aplikatornya', 'lumayan', 'nyaman', 'digunakan', 'efektif', 'buat', 'mengatasi', 'bibir', 'kering']",penjual terpercaya aku suka tekstur kind words wanginya enak banget aplikatornya lumayan nyaman digunakan efektif buat mengatasi bibir kering,positif
"ini moist ringan banget, dipake di kulitku yg oily juga cocok🥰",ini moist ringan banget dipake di kulitku yg oily juga cocok,ini moist ringan banget dipakai di kulitku yang oily juga cocok,"['ini', 'moist', 'ringan', 'banget', 'dipakai', 'di', 'kulitku', 'yang', 'oily', 'juga', 'cocok']","['moist', 'ringan', 'banget', 'dipakai', 'kulitku', 'oily', 'cocok']",moist ringan banget dipakai kulitku oily cocok,positif
"belom aku cobain sih, soalnya masih pake moist brand sebelah, tapi dari harga worth bgt karena dapet potongan diskon dr tokpednya. semoga cocok di aku biar bisa repurchase.",belom aku cobain sih soalnya masih pake moist brand sebelah tapi dari harga worth bgt karena dapet potongan diskon dr tokpednya semoga cocok di aku biar bisa repurchase,belum aku mencoba sih soalnya masih pakai moist brand sebelah tapi dari harga worth banget karena dapat potongan diskon dari tokpednya semoga cocok di aku biar bisa repurchase,"['belum', 'aku', 'mencoba', 'sih', 'soalnya', 'masih', 'pakai', 'moist', 'brand', 'sebelah', 'tapi', 'dari', 'harga', 'worth', 'banget', 'karena', 'dapat', 'potongan', 'diskon', 'dari', 'tokpednya', 'semoga', 'cocok', 'di', 'aku', 'biar', 'bisa', 'repurchase']","['aku', 'mencoba', 'sih', 'soalnya', 'pakai', 'moist', 'brand', 'sebelah', 'harga', 'worth', 'banget', 'potongan', 'diskon', 'tokpednya', 'semoga', 'cocok', 'aku', 'biar', 'repurchase']",aku mencoba sih soalnya pakai moist brand sebelah harga worth banget potongan diskon tokpednya semoga cocok aku biar repurchase,positif
"tipe kulitku berminyak tipe kulitku sensitif
bila dibandingkan dgn merk sebelah la**re yg nutrition gel jujur ini teksturnya lbh heavy sedikit tp sama2 mudah diblend ke kulit n cpt nyerepnya... moga cocok n ga bikin beruntusan soalnya utk kulit sya yg oily amat sulit mencari moist yg cocok...",tipe kulitku berminyak tipe kulitku sensitif bila dibandingkan dgn merk sebelah la re yg nutrition gel jujur ini teksturnya lbh heavy sedikit tp sama mudah diblend ke kulit cpt nyerepnya moga cocok ga bikin beruntusan soalnya utk kulit sya yg oily amat sulit mencari moist yg cocok,tipe kulitku berminyak tipe kulitku sensitif bila dibandingkan dengan merk sebelah lah re yang nutrition gel jujur ini teksturnya lebih heavy sedikit tapi sama mudah diblend ke kulit cepat nyerepnya moga cocok enggak bikin beruntusan soalnya untuk kulit saya yang oily amat sulit mencari moist yang cocok,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'bila', 'dibandingkan', 'dengan', 'merk', 'sebelah', 'lah', 're', 'yang', 'nutrition', 'gel', 'jujur', 'ini', 'teksturnya', 'lebih', 'heavy', 'sedikit', 'tapi', 'sama', 'mudah', 'diblend', 'ke', 'kulit', 'cepat', 'nyerepnya', 'moga', 'cocok', 'enggak', 'bikin', 'beruntusan', 'soalnya', 'untuk', 'kulit', 'saya', 'yang', 'oily', 'amat', 'sulit', 'mencari', 'moist', 'yang', 'cocok']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'bila', 'dibandingkan', 'merk', 'sebelah', 'lah', 're', 'nutrition', 'gel', 'jujur', 'teksturnya', 'lebih', 'heavy', 'sedikit', 'sama', 'mudah', 'diblend', 'kulit', 'cepat', 'nyerepnya', 'moga', 'cocok', 'enggak', 'bikin', 'beruntusan', 'soalnya', 'kulit', 'oily', 'sulit', 'mencari', 'moist', 'cocok']",tipe kulitku berminyak tipe kulitku sensitif bila dibandingkan merk sebelah lah re nutrition gel jujur teksturnya lebih heavy sedikit sama mudah diblend kulit cepat nyerepnya moga cocok enggak bikin beruntusan soalnya kulit oily sulit mencari moist cocok,positif
tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku pori besar,tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku pori besar,tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku pori besar,"['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'pori', 'besar']",tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku pori besar,negatif
bagus,bagus,bagus,['bagus'],['bagus'],bagus,positif
"sudah cocok banget sama moist satu ini, repurchase berkali-kali. cocok di kulitku.",sudah cocok banget sama moist satu ini repurchase berkali kali cocok di kulitku,sudah cocok banget sama moist satu ini repurchase berkali kali cocok di kulitku,"['sudah', 'cocok', 'banget', 'sama', 'moist', 'satu', 'ini', 'repurchase', 'berkali', 'kali', 'cocok', 'di', 'kulitku']","['cocok', 'banget', 'sama', 'moist', 'satu', 'repurchase', 'berkali', 'kali', 'cocok', 'kulitku']",cocok banget sama moist satu repurchase berkali kali cocok kulitku,positif
mantap banget selalu,mantap banget selalu,mantap banget selalu,"['mantap', 'banget', 'selalu']","['mantap', 'banget', 'selalu']",mantap banget selalu,positif
"kurang suka sama tempatnya yg sekarang, susah ngeluarinnya dan isinya lebih sedikit. setelah beberapa jam, kalo paste-nya udah kering gampang lepas dari muka",kurang suka sama tempatnya yg sekarang susah ngeluarinnya dan isinya lebih sedikit setelah beberapa jam kalo paste nya udah kering gampang lepas dari muka,kurang suka sama tempatnya yang sekarang susah ngeluarinnya dan isinya lebih sedikit setelah beberapa jam kalo paste nya sudah kering gampang lepas dari muka,"['kurang', 'suka', 'sama', 'tempatnya', 'yang', 'sekarang', 'susah', 'ngeluarinnya', 'dan', 'isinya', 'lebih', 'sedikit', 'setelah', 'beberapa', 'jam', 'kalo', 'paste', 'nya', 'sudah', 'kering', 'gampang', 'lepas', 'dari', 'muka']","['kurang', 'suka', 'sama', 'tempatnya', 'sekarang', 'susah', 'ngeluarinnya', 'isinya', 'lebih', 'sedikit', 'beberapa', 'jam', 'kalo', 'paste', 'nya', 'kering', 'gampang', 'lepas', 'muka']",kurang suka sama tempatnya sekarang susah ngeluarinnya isinya lebih sedikit beberapa jam kalo paste nya kering gampang lepas muka,positif
"kulit aku tipe normal dan gaada masalah banget sih sebenernya. tp aku penasaran sama moist skingame yang katanya enak. aku minta rekomendasiin yg watery atau gel pada bilang beli yg watery aja. eh ternyata enak sekalii!! moistnya enteng, cukup ngunci kelembaban ampe lama. kalo dipake malem lembabnya ampe paginya.",kulit aku tipe normal dan gaada masalah banget sih sebenernya tp aku penasaran sama moist skingame yang katanya enak aku minta rekomendasiin yg watery atau gel pada bilang beli yg watery aja ternyata enak sekalii moistnya enteng cukup ngunci kelembaban ampe lama kalo dipake malem lembabnya ampe paginya,kulit aku tipe normal dan enggak ada masalah banget sih sebenarnya tapi aku penasaran sama moist skingame yang katanya enak aku meminta rekomendasikan yang watery atau gel pada bilang beli yang watery saja ternyata enak sekali moistnya enteng cukup ngunci kelembaban sampai lama kalo dipakai malam lembabnya sampai paginya,"['kulit', 'aku', 'tipe', 'normal', 'dan', 'enggak', 'ada', 'masalah', 'banget', 'sih', 'sebenarnya', 'tapi', 'aku', 'penasaran', 'sama', 'moist', 'skingame', 'yang', 'katanya', 'enak', 'aku', 'meminta', 'rekomendasikan', 'yang', 'watery', 'atau', 'gel', 'pada', 'bilang', 'beli', 'yang', 'watery', 'saja', 'ternyata', 'enak', 'sekali', 'moistnya', 'enteng', 'cukup', 'ngunci', 'kelembaban', 'sampai', 'lama', 'kalo', 'dipakai', 'malam', 'lembabnya', 'sampai', 'paginya']","['kulit', 'aku', 'tipe', 'normal', 'enggak', 'masalah', 'banget', 'sih', 'sebenarnya', 'aku', 'penasaran', 'sama', 'moist', 'skingame', 'katanya', 'enak', 'aku', 'meminta', 'rekomendasikan', 'watery', 'gel', 'bilang', 'beli', 'watery', 'ternyata', 'enak', 'sekali', 'moistnya', 'enteng', 'cukup', 'ngunci', 'kelembaban', 'lama', 'kalo', 'dipakai', 'malam', 'lembabnya', 'paginya']",kulit aku tipe normal enggak masalah banget sih sebenarnya aku penasaran sama moist skingame katanya enak aku meminta rekomendasikan watery gel bilang beli watery ternyata enak sekali moistnya enteng cukup ngunci kelembaban lama kalo dipakai malam lembabnya paginya,positif
"tipe kulitku berminyak tipe kulitku sensitif
baru pertama kali coba semoga cocok...",tipe kulitku berminyak tipe kulitku sensitif baru pertama kali coba semoga cocok,tipe kulitku berminyak tipe kulitku sensitif baru pertama kali coba semoga cocok,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'baru', 'pertama', 'kali', 'coba', 'semoga', 'cocok']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'sensitif', 'baru', 'pertama', 'kali', 'coba', 'semoga', 'cocok']",tipe kulitku berminyak tipe kulitku sensitif baru pertama kali coba semoga cocok,positif
bagua buat.totol.jerawat basah cepet.kering,bagua buat totol jerawat basah cepet kering,bagua buat totol jerawat basah cepat kering,"['bagua', 'buat', 'totol', 'jerawat', 'basah', 'cepat', 'kering']","['bagua', 'buat', 'totol', 'jerawat', 'basah', 'cepat', 'kering']",bagua buat totol jerawat basah cepat kering,positif
"semogaa cocok di kulit akuu, makasi kak sehat selalu !!!",semogaa cocok di kulit akuu makasi kak sehat selalu,semoga cocok di kulit aku terima kasih kak sehat selalu,"['semoga', 'cocok', 'di', 'kulit', 'aku', 'terima', 'kasih', 'kak', 'sehat', 'selalu']","['semoga', 'cocok', 'kulit', 'aku', 'terima', 'kasih', 'kak', 'sehat', 'selalu']",semoga cocok kulit aku terima kasih kak sehat selalu,positif
makasih,makasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']",terima kasih,positif
"packaging aman, barang sampai dengan selamat. teksturenya enak, nyaman di muka",packaging aman barang sampai dengan selamat teksturenya enak nyaman di muka,packaging aman barang sampai dengan selamat teksturenya enak nyaman di muka,"['packaging', 'aman', 'barang', 'sampai', 'dengan', 'selamat', 'teksturenya', 'enak', 'nyaman', 'di', 'muka']","['packaging', 'aman', 'barang', 'selamat', 'teksturenya', 'enak', 'nyaman', 'muka']",packaging aman barang selamat teksturenya enak nyaman muka,positif
repurchase kesekian kalinya and love this product😘,repurchase kesekian kalinya and love this product,repurchase kesekian kalinya and love this product,"['repurchase', 'kesekian', 'kalinya', 'and', 'love', 'this', 'product']","['repurchase', 'kesekian', 'kalinya', 'and', 'love', 'this', 'product']",repurchase kesekian kalinya and love this product,netral
udah jadi moist paling favorite dan gentle buat kulit oily acne prone 🙏🏻,udah jadi moist paling favorite dan gentle buat kulit oily acne prone,sudah jadi moist paling favorite dan gentle buat kulit oily acne prone,"['sudah', 'jadi', 'moist', 'paling', 'favorite', 'dan', 'gentle', 'buat', 'kulit', 'oily', 'acne', 'prone']","['jadi', 'moist', 'paling', 'favorite', 'gentle', 'buat', 'kulit', 'oily', 'acne', 'prone']",jadi moist paling favorite gentle buat kulit oily acne prone,netral
"tipe kulitku normal dan dah cukup bgt melembabkan tp ringan, semenjak pake skingame dah ganti"" lg, favorit bgtt",tipe kulitku normal dan dah cukup bgt melembabkan tp ringan semenjak pake skingame dah ganti lg favorit bgtt,tipe kulitku normal dan deh cukup banget melembabkan tapi ringan semenjak pakai skingame deh ganti lagi favorit banget,"['tipe', 'kulitku', 'normal', 'dan', 'deh', 'cukup', 'banget', 'melembabkan', 'tapi', 'ringan', 'semenjak', 'pakai', 'skingame', 'deh', 'ganti', 'lagi', 'favorit', 'banget']","['tipe', 'kulitku', 'normal', 'deh', 'cukup', 'banget', 'melembabkan', 'ringan', 'semenjak', 'pakai', 'skingame', 'deh', 'ganti', 'favorit', 'banget']",tipe kulitku normal deh cukup banget melembabkan ringan semenjak pakai skingame deh ganti favorit banget,positif
tipe kulitku kering cocok bgt pake ini langsung lembab,tipe kulitku kering cocok bgt pake ini langsung lembab,tipe kulitku kering cocok banget pakai ini langsung lembab,"['tipe', 'kulitku', 'kering', 'cocok', 'banget', 'pakai', 'ini', 'langsung', 'lembab']","['tipe', 'kulitku', 'kering', 'cocok', 'banget', 'pakai', 'langsung', 'lembab']",tipe kulitku kering cocok banget pakai langsung lembab,positif
"packing rapi, proses kirim cepat, tapi kurir lama banget ngirim sampe 3hari, dari jerawat batu smp uda keluar jerawatnya.. belum cobain jd bintang 4 dulu..semoga cocok dan bisa ngempesin jerawat²nya",packing rapi proses kirim cepat tapi kurir lama banget ngirim sampe hari dari jerawat batu smp uda keluar jerawatnya belum cobain jd bintang dulu semoga cocok dan bisa ngempesin jerawat nya,packing rapi proses kirim cepat tapi kurir lama banget mengirim sampai hari dari jerawat batu sampai sudah keluar jerawatnya belum mencoba jadi bintang dulu semoga cocok dan bisa ngempesin jerawat nya,"['packing', 'rapi', 'proses', 'kirim', 'cepat', 'tapi', 'kurir', 'lama', 'banget', 'mengirim', 'sampai', 'hari', 'dari', 'jerawat', 'batu', 'sampai', 'sudah', 'keluar', 'jerawatnya', 'belum', 'mencoba', 'jadi', 'bintang', 'dulu', 'semoga', 'cocok', 'dan', 'bisa', 'ngempesin', 'jerawat', 'nya']","['packing', 'rapi', 'proses', 'kirim', 'cepat', 'kurir', 'lama', 'banget', 'mengirim', 'hari', 'jerawat', 'batu', 'keluar', 'jerawatnya', 'mencoba', 'jadi', 'bintang', 'dulu', 'semoga', 'cocok', 'ngempesin', 'jerawat', 'nya']",packing rapi proses kirim cepat kurir lama banget mengirim hari jerawat batu keluar jerawatnya mencoba jadi bintang dulu semoga cocok ngempesin jerawat nya,positif
finally nemu moist yg cocok,finally nemu moist yg cocok,finally nemu moist yang cocok,"['finally', 'nemu', 'moist', 'yang', 'cocok']","['finally', 'nemu', 'moist', 'cocok']",finally nemu moist cocok,positif
bagusss sgt moisturizing utk kulit kering sampe ngelupas jadi lembab dan kenyal love it sudah repurchase kedua kali!!!,bagusss sgt moisturizing utk kulit kering sampe ngelupas jadi lembab dan kenyal love it sudah repurchase kedua kali,bagus sangat moisturizing untuk kulit kering sampai ngelupas jadi lembab dan kenyal love itu sudah repurchase kedua kali,"['bagus', 'sangat', 'moisturizing', 'untuk', 'kulit', 'kering', 'sampai', 'ngelupas', 'jadi', 'lembab', 'dan', 'kenyal', 'love', 'itu', 'sudah', 'repurchase', 'kedua', 'kali']","['bagus', 'sangat', 'moisturizing', 'kulit', 'kering', 'ngelupas', 'jadi', 'lembab', 'kenyal', 'love', 'repurchase', 'kedua', 'kali']",bagus sangat moisturizing kulit kering ngelupas jadi lembab kenyal love repurchase kedua kali,positif
"sesuai deskripsi, barangnya bagus dan efeknya mantap",sesuai deskripsi barangnya bagus dan efeknya mantap,sesuai deskripsi barangnya bagus dan efeknya mantap,"['sesuai', 'deskripsi', 'barangnya', 'bagus', 'dan', 'efeknya', 'mantap']","['sesuai', 'deskripsi', 'barangnya', 'bagus', 'efeknya', 'mantap']",sesuai deskripsi barangnya bagus efeknya mantap,positif
paketnya mendarat dengan selamat. packing aman. ini kali ketiga purchase moisturizer yang kind water dan cocok di kulit aku yang oily,paketnya mendarat dengan selamat packing aman ini kali ketiga purchase moisturizer yang kind water dan cocok di kulit aku yang oily,paketnya mendarat dengan selamat packing aman ini kali ketiga purchase moisturizer yang kind water dan cocok di kulit aku yang oily,"['paketnya', 'mendarat', 'dengan', 'selamat', 'packing', 'aman', 'ini', 'kali', 'ketiga', 'purchase', 'moisturizer', 'yang', 'kind', 'water', 'dan', 'cocok', 'di', 'kulit', 'aku', 'yang', 'oily']","['paketnya', 'mendarat', 'selamat', 'packing', 'aman', 'kali', 'ketiga', 'purchase', 'moisturizer', 'kind', 'water', 'cocok', 'kulit', 'aku', 'oily']",paketnya mendarat selamat packing aman kali ketiga purchase moisturizer kind water cocok kulit aku oily,positif
asik sudah sampaaaii ❤️❤️❤️,asik sudah sampaaaii,asik sudah sampaaaii,"['asik', 'sudah', 'sampaaaii']","['asik', 'sampaaaii']",asik sampaaaii,negatif
sip,sip,sip,['sip'],['sip'],sip,negatif
adminnya responsif. produknya bagus dan ringan tidak lengket,adminnya responsif produknya bagus dan ringan tidak lengket,adminnya responsif produknya bagus dan ringan tidak lengket,"['adminnya', 'responsif', 'produknya', 'bagus', 'dan', 'ringan', 'tidak', 'lengket']","['adminnya', 'responsif', 'produknya', 'bagus', 'ringan', 'lengket']",adminnya responsif produknya bagus ringan lengket,positif
mantap,mantap,mantap,['mantap'],['mantap'],mantap,positif
lengkap dan ok,lengkap dan ok,lengkap dan ok,"['lengkap', 'dan', 'ok']",['lengkap'],lengkap,negatif
"enak n adem banget, hydrating sampe setengah hari",enak adem banget hydrating sampe setengah hari,enak adem banget hydrating sampai setengah hari,"['enak', 'adem', 'banget', 'hydrating', 'sampai', 'setengah', 'hari']","['enak', 'adem', 'banget', 'hydrating', 'setengah', 'hari']",enak adem banget hydrating setengah hari,positif
"perfection
!!
so light",perfection so light,perfection so light,"['perfection', 'so', 'light']","['perfection', 'so', 'light']",perfection so light,netral
wished packaging nya masih yg kyk dulu yg tube.. formula nya jg yg dulu lagi please :(,wished packaging nya masih yg kyk dulu yg tube formula nya jg yg dulu lagi please,wished packaging nya masih yang kayak dulu yang tube formula nya juga yang dulu lagi please,"['wished', 'packaging', 'nya', 'masih', 'yang', 'kayak', 'dulu', 'yang', 'tube', 'formula', 'nya', 'juga', 'yang', 'dulu', 'lagi', 'please']","['wished', 'packaging', 'nya', 'kayak', 'dulu', 'tube', 'formula', 'nya', 'dulu', 'please']",wished packaging nya kayak dulu tube formula nya dulu please,positif
so good omg saved my chapped lips,so good omg saved my chapped lips,so good omg saved my chapped lips,"['so', 'good', 'omg', 'saved', 'my', 'chapped', 'lips']","['so', 'good', 'omg', 'saved', 'my', 'chapped', 'lips']",so good omg saved my chapped lips,netral
tipe kulitku kombinasi,tipe kulitku kombinasi,tipe kulitku kombinasi,"['tipe', 'kulitku', 'kombinasi']","['tipe', 'kulitku', 'kombinasi']",tipe kulitku kombinasi,negatif
"pengiriman cepat. belom dicoba, semoga cocok 😁",pengiriman cepat belom dicoba semoga cocok,pengiriman cepat belum dicoba semoga cocok,"['pengiriman', 'cepat', 'belum', 'dicoba', 'semoga', 'cocok']","['pengiriman', 'cepat', 'dicoba', 'semoga', 'cocok']",pengiriman cepat dicoba semoga cocok,positif
"sudah pembelian kedua. enak banget dipakai, ringan, nggak lengket. aku tipe yang nggak suka skincare licin-licin setelah pake, terutama pas wudhu. tapi kind watery ini enggak ninggalin efek begitu. sukaa..",sudah pembelian kedua enak banget dipakai ringan nggak lengket aku tipe yang nggak suka skincare licin licin setelah pake terutama pas wudhu tapi kind watery ini enggak ninggalin efek begitu sukaa,sudah pembelian kedua enak banget dipakai ringan enggak lengket aku tipe yang enggak suka skincare licin licin setelah pakai terutama pas wudhu tapi kind watery ini enggak meninggalkan efek begitu suka,"['sudah', 'pembelian', 'kedua', 'enak', 'banget', 'dipakai', 'ringan', 'enggak', 'lengket', 'aku', 'tipe', 'yang', 'enggak', 'suka', 'skincare', 'licin', 'licin', 'setelah', 'pakai', 'terutama', 'pas', 'wudhu', 'tapi', 'kind', 'watery', 'ini', 'enggak', 'meninggalkan', 'efek', 'begitu', 'suka']","['pembelian', 'kedua', 'enak', 'banget', 'dipakai', 'ringan', 'enggak', 'lengket', 'aku', 'tipe', 'enggak', 'suka', 'skincare', 'licin', 'licin', 'pakai', 'terutama', 'pas', 'wudhu', 'kind', 'watery', 'enggak', 'meninggalkan', 'efek', 'suka']",pembelian kedua enak banget dipakai ringan enggak lengket aku tipe enggak suka skincare licin licin pakai terutama pas wudhu kind watery enggak meninggalkan efek suka,positif
"cocok dgn produk ini, packingnya selalu rapi dan aman juga",cocok dgn produk ini packingnya selalu rapi dan aman juga,cocok dengan produk ini packingnya selalu rapi dan aman juga,"['cocok', 'dengan', 'produk', 'ini', 'packingnya', 'selalu', 'rapi', 'dan', 'aman', 'juga']","['cocok', 'produk', 'packingnya', 'selalu', 'rapi', 'aman']",cocok produk packingnya selalu rapi aman,positif
pakai acne warrior cepat terlihat hasilnya melawan jerawat.  oke deh.... packing rapi dan aman,pakai acne warrior cepat terlihat hasilnya melawan jerawat oke deh packing rapi dan aman,pakai acne warrior cepat terlihat hasilnya melawan jerawat oke deh packing rapi dan aman,"['pakai', 'acne', 'warrior', 'cepat', 'terlihat', 'hasilnya', 'melawan', 'jerawat', 'oke', 'deh', 'packing', 'rapi', 'dan', 'aman']","['pakai', 'acne', 'warrior', 'cepat', 'terlihat', 'hasilnya', 'melawan', 'jerawat', 'oke', 'deh', 'packing', 'rapi', 'aman']",pakai acne warrior cepat terlihat hasilnya melawan jerawat oke deh packing rapi aman,positif
semoga cocok yaaa hihi!!!!!!!!!!!!!!!!!!!,semoga cocok yaaa,semoga cocok ya,"['semoga', 'cocok', 'ya']","['semoga', 'cocok']",semoga cocok,positif
"bahannya ringan, mudah menyerap ke kulit,  melembabkan kulit wajah, membuat wajah terlihat lebih sehat.",bahannya ringan mudah menyerap ke kulit melembabkan kulit wajah membuat wajah terlihat lebih sehat,bahannya ringan mudah menyerap ke kulit melembabkan kulit wajah membuat wajah terlihat lebih sehat,"['bahannya', 'ringan', 'mudah', 'menyerap', 'ke', 'kulit', 'melembabkan', 'kulit', 'wajah', 'membuat', 'wajah', 'terlihat', 'lebih', 'sehat']","['bahannya', 'ringan', 'mudah', 'menyerap', 'kulit', 'melembabkan', 'kulit', 'wajah', 'membuat', 'wajah', 'terlihat', 'lebih', 'sehat']",bahannya ringan mudah menyerap kulit melembabkan kulit wajah membuat wajah terlihat lebih sehat,positif
"pengemasan dan pengiriman cepat. barang sesuai. pengemasan rapi dan aman
terima kasih",pengemasan dan pengiriman cepat barang sesuai pengemasan rapi dan aman terima kasih,pengemasan dan pengiriman cepat barang sesuai pengemasan rapi dan aman terima kasih,"['pengemasan', 'dan', 'pengiriman', 'cepat', 'barang', 'sesuai', 'pengemasan', 'rapi', 'dan', 'aman', 'terima', 'kasih']","['pengemasan', 'pengiriman', 'cepat', 'barang', 'sesuai', 'pengemasan', 'rapi', 'aman', 'terima', 'kasih']",pengemasan pengiriman cepat barang sesuai pengemasan rapi aman terima kasih,positif
semoga cocok deh buat basic skincare yg g macem macem,semoga cocok deh buat basic skincare yg macem macem,semoga cocok deh buat basic skincare yang macam macam,"['semoga', 'cocok', 'deh', 'buat', 'basic', 'skincare', 'yang', 'macam', 'macam']","['semoga', 'cocok', 'deh', 'buat', 'basic', 'skincare', 'macam', 'macam']",semoga cocok deh buat basic skincare macam macam,positif
"packing aman, respons cepat. toko direkomendasikan!",packing aman respons cepat toko direkomendasikan,packing aman respons cepat toko direkomendasikan,"['packing', 'aman', 'respons', 'cepat', 'toko', 'direkomendasikan']","['packing', 'aman', 'respons', 'cepat', 'toko', 'direkomendasikan']",packing aman respons cepat toko direkomendasikan,positif
"minus nya adalah jeda antara di proses dan dikirim, saya pesan sabtu baru dikirim selasa, itupun setelah saya chat baru di bantu proses, untung nya pengrimian nya cepet banget, semoga cocok deh",minus nya adalah jeda antara di proses dan dikirim saya pesan sabtu baru dikirim selasa itupun setelah saya chat baru di bantu proses untung nya pengrimian nya cepet banget semoga cocok deh,minus nya adalah jeda antara di proses dan dikirim saya pesan sabtu baru dikirim selasa itupun setelah saya chat baru di bantu proses untung nya pengrimian nya cepat banget semoga cocok deh,"['minus', 'nya', 'adalah', 'jeda', 'antara', 'di', 'proses', 'dan', 'dikirim', 'saya', 'pesan', 'sabtu', 'baru', 'dikirim', 'selasa', 'itupun', 'setelah', 'saya', 'chat', 'baru', 'di', 'bantu', 'proses', 'untung', 'nya', 'pengrimian', 'nya', 'cepat', 'banget', 'semoga', 'cocok', 'deh']","['minus', 'nya', 'jeda', 'proses', 'dikirim', 'pesan', 'sabtu', 'baru', 'dikirim', 'selasa', 'itupun', 'chat', 'baru', 'bantu', 'proses', 'untung', 'nya', 'pengrimian', 'nya', 'cepat', 'banget', 'semoga', 'cocok', 'deh']",minus nya jeda proses dikirim pesan sabtu baru dikirim selasa itupun chat baru bantu proses untung nya pengrimian nya cepat banget semoga cocok deh,positif
